,Length,Language,Messsage
13601,2,English,dark blue
13602,12,English,most natural green i'm not sure what to say about it
13603,3,English,nice bright orange
13604,5,English,dull blue kind of gray
13605,2,English,dullest purple
13606,2,English,baby blue
13607,2,English,we ballin
13608,1,English,gray
13609,2,English,hot pink
13610,1,English,olive
13611,1,English,olive
13612,1,English,gray
13613,1,English,green
13614,2,English,yellow green
13615,1,English,grayest
13616,1,English,green
13617,1,English,red
13618,10,English,the red that is more pink than the other one
13619,1,English,pink
13620,1,English,red
13621,3,English,more dull purple
13622,8,English,not the olive not the bright green either
13623,3,English,rainy day green/blue
13624,1,English,mahogany
13625,1,English,red
13626,1,English,blue
13627,2,English,light blue
13628,1,English,blue
13629,2,English,dull green
13630,1,English,yellow
13631,1,English,blue
13632,1,English,blue
13633,1,English,green
13634,2,English,pastel green
13635,1,English,tan
13636,1,English,blue
13637,1,English,brightest
13638,1,English,blue
13639,1,English,brown
13640,1,English,green
13641,2,English,dark purple
13642,2,English,purple grey
13643,1,English,greenish
13644,2,English,dull purple
13645,2,English,duller purple
13646,1,English,green
13647,3,English,light or dark
13648,1,English,dark
13649,1,English,blue
13650,2,English,darker pink
13651,1,English,purple
13652,1,English,green
13653,2,English,darker grey
13654,2,English,purple blue
13655,1,English,darker
13656,2,English,bright green
13657,1,English,darkest
13658,2,English,not gery
13659,4,English,the bluer dark one
13660,1,English,yes
13661,2,English,brownish grey
13662,2,English,light blue
13663,1,English,purple
13664,1,English,purple
13665,5,English,i see blue not purple
13666,2,English,the e
13667,1,English,grey
13668,1,English,green
13669,1,English,turqouise
13670,1,English,no
13671,1,English,green
13672,1,English,orange
13673,2,English,light purple
13674,2,English,lighter purple
13675,1,English,red
13676,1,English,purple
13677,2,English,yellowish green
13678,2,English,darker green
13679,1,English,green
13680,2,English,yellow green
13681,1,English,no
13682,2,English,purple brownish
13683,1,English,green
13684,1,English,yellow
13685,1,English,purple
13686,2,English,darker pink
13687,1,English,pink
13688,1,English,puke
13689,1,English,green
13690,3,English,that was accidnet
13691,3,English,it's okay
13692,1,English,green
13693,1,English,bluest
13694,2,English,darker green
13695,2,English,light blue
13696,1,English,greyist
13697,1,English,purple
13698,2,English,purple grey
13699,1,English,yellow
13700,2,English,blue lighter
13701,2,English,green darker
13702,2,English,light purple
13703,1,English,blue
13704,2,English,light purple
13705,2,English,purplish grey
13706,1,English,yellow
13707,1,English,blueist
13708,1,English,grey
13709,2,English,dullest color
13710,7,English,the target is the light blue color
13711,4,English,the target is yellow
13712,4,English,the target is purple
13713,7,English,the target is the neon lime green
13714,8,English,the target is the brightest shade of pink
13715,4,English,the target is purple
13716,7,English,the target is the orangeish looking color
13717,12,English,the target is tan/beige the one that is more brown than grey
13718,5,English,the target is lime green
13719,10,English,the target is the green color not the turquoise one
13720,2,English,the brown
13721,2,English,the brown/orange
13722,3,English,the purpleish one
13723,15,English,it's the red one but not the fire engine red/brighter red of the two
13724,9,English,the green one but not the lime green/neon one
13725,3,English,the brownish one
13726,1,English,red
13727,2,English,the purple
13728,2,English,the purple
13729,12,English,of the two darker greens it is the brighter/lighter of the two
13730,2,English,the pink/purple
13731,2,English,the yellow
13732,3,English,the brownish one
13733,3,English,the brightest pink
13734,15,English,of the two greys it's the one that has a little brown in it
13735,2,English,the purple
13736,2,English,the purple
13737,3,English,the pink one
13738,3,English,the olive green
13739,7,English,of the two grays the lighter one
13740,2,English,the yellow
13741,3,English,the bright green
13742,2,English,the brown
13743,2,English,the gray
13744,2,English,the purple
13745,3,English,the olive green
13746,2,English,the purple
13747,3,English,the lime green
13748,2,English,the purple
13749,3,English,the dark purple
13750,3,English,the darkish blue
13751,9,English,of the three shades it's the middle brightness
13752,5,English,more of an orangey pink
13753,2,English,the purple
13754,6,English,haha your doing a great job
13755,1,English,thanks
13756,2,English,the purple
13757,2,English,the blue
13758,7,English,the brightest green the mint green color
13759,7,English,of the two greys the brighter/lighter one
13760,1,English,blue
13761,2,English,the grey
13762,3,English,you did great
13763,5,English,sorry about the last few
13764,13,English,i swear if i was the speaker i would have returned the hit
13765,3,English,thanks any way
13766,1,English,Hi
13767,1,English,purple
13768,9,English,They're all sort of purple The darkest one
13769,3,English,purplest purple bright
13770,1,English,purple
13771,2,English,aqua green
13772,1,English,grey
13773,1,English,green
13774,11,English,They're all green Lime green olive and I guess camo
13775,2,English,greenest green
13776,1,English,gray
13777,2,English,neon green
13778,1,English,purple
13779,2,English,dark green
13780,2,English,dark green
13781,1,English,brown
13782,1,English,green
13783,1,English,aqua
13784,2,English,dark grey
13785,1,English,green
13786,2,English,middle hue
13787,1,English,blue
13788,1,English,orange
13789,1,English,blue
13790,2,English,lighter blue
13791,2,English,bright green
13792,2,English,light blue
13793,4,English,eesh those are similar
13794,2,English,baby blue
13795,1,English,purple
13796,2,English,ugly green
13797,1,English,purple
13798,2,English,brighter green
13799,1,English,green
13800,1,English,blue
13801,1,English,gray
13802,1,English,lighter
13803,1,English,orange
13804,1,English,brown
13805,1,English,olive
13806,1,English,purple
13807,1,English,green
13808,1,English,green
13809,1,English,grey
13810,2,English,darker green
13811,2,English,bright green
13812,1,English,grey
13813,2,English,dark purple
13814,1,English,green
13815,1,English,darkest
13816,1,English,green
13817,1,English,bright
13818,1,English,darkest
13819,1,English,yellow
13820,1,English,bright
13821,1,English,lighter
13822,1,English,hi
13823,1,English,hi
13824,4,English,select the darkest green
13825,4,English,select the bright red
13826,3,English,or brighter red
13827,4,English,select the bright green
13828,4,English,select the purplish blue
13829,2,English,the purple
13830,1,English,red
13831,7,English,the one that is more army green
13832,2,English,good clue
13833,1,English,green
13834,2,English,and thanks
13835,2,English,bluest one
13836,1,English,green
13837,2,English,red orange
13838,1,English,teal
13839,1,English,yellow
13840,1,English,purple
13841,2,English,grey blue
13842,4,English,the more blue grrey
13843,2,English,light blue
13844,1,English,greenblue
13845,2,English,bright blue
13846,2,English,blue green
13847,2,English,ligther blue
13848,6,English,the one that doesnt look greyish
13849,1,English,green
13850,2,English,brightest purple
13851,2,English,bright purple
13852,4,English,pinkish purple or purple
13853,2,English,pinkish purple
13854,2,English,lime green
13855,1,English,grey
13856,1,English,blue
13857,3,English,the darker blue
13858,1,English,brown
13859,2,English,pinkish purple
13860,1,English,grey
13861,1,English,purple
13862,1,English,orange
13863,2,English,lime green
13864,2,English,greener blue
13865,2,English,bright purple
13866,2,English,brown green
13867,2,English,darkest grey
13868,4,English,not the redish one
13869,5,English,and it's less blue
13870,1,English,blue
13871,1,English,green
13872,2,English,blue purple
13873,1,English,grey
13874,1,English,blue
13875,1,English,grey
13876,1,English,grey
13877,1,English,purple
13878,1,English,purple
13879,2,English,light blue
13880,2,English,army green
13881,1,English,grey
13882,4,English,light blue and thanks
13883,2,English,take care
13884,2,English,neon pink
13885,1,English,barney
13886,3,English,blue power ranger
13887,2,English,ninja turtle
13888,2,English,paper bag
13889,2,English,sorta skyish
13890,2,English,dullest green
13891,2,English,almost brown
13892,1,English,mustard
13893,10,English,the green with the most 'pop' still dull thop
13894,2,English,dullest green
13895,2,English,more red
13896,1,English,barney
13897,1,English,pink
13898,1,English,green
13899,2,English,dull purple
13900,2,English,dull green
13901,2,English,midrange purple
13902,3,English,pink i guess
13903,1,English,purp
13904,2,English,dull green
13905,1,English,blue
13906,1,English,barney
13907,2,English,dullest purp
13908,2,English,midrange green
13909,1,English,blue
13910,1,English,brown
13911,2,English,dull purp
13912,1,English,buleish
13913,1,English,tan
13914,2,English,neon pink
13915,1,English,diareah
13916,1,English,grey
13917,1,English,neon
13918,2,English,lighest green
13919,2,English,real purple
13920,1,English,pink
13921,1,English,brown
13922,1,English,blue
13923,1,English,purp
13924,2,English,brightest green
13925,2,English,tanish grey
13926,2,English,neon pink
13927,2,English,ninja turtle
13928,2,English,dull green
13929,2,English,lighter green
13930,4,English,tan or redish color
13931,2,English,lighter shade
13932,2,English,darker shade
13933,1,English,grey
13934,5,English,you sir are a BOSS
13935,1,English,grey
13936,2,English,neon green
13937,1,English,mauve
13938,1,English,blue
13939,1,English,grey
13940,1,English,green
13941,2,English,dullest color
13942,1,English,yelliow
13943,1,English,greenish
13944,1,English,redish
13945,1,English,aqua
13946,1,English,aqua
13947,2,English,dull mauve
13948,1,English,green
13949,2,English,brightest color
13950,1,English,sand
13951,2,English,dullest blue
13952,1,English,grey
13953,2,English,darker purple
13954,1,English,pink
13955,4,English,brightest red NOT pink
13956,2,English,purpleish grey
13957,2,English,bold purple
13958,2,English,darkest purple
13959,7,English,sorry i have trouble with my purples
13960,2,English,darker teal
13961,2,English,no problem
13962,3,English,mauve kinda purplish
13963,1,English,purple
13964,2,English,darkest color
13965,2,English,darker green
13966,3,English,most purpulish one
13967,1,English,tea
13968,1,English,teal
13969,12,English,lol and they just keep throwing all these purple ones out here
13970,3,English,purple NOT pink
13971,1,English,pink
13972,3,English,light neon green
13973,1,English,green
13974,2,English,royal blue
13975,1,English,redish
13976,2,English,most purple
13977,1,English,orange
13978,1,English,grey
13979,2,English,greenish grey
13980,1,English,grey
13981,1,English,blue
13982,1,English,yellow
13983,2,English,lighter green
13984,2,English,neon green
13985,1,English,grey
13986,3,English,bolder brighter blue
13987,2,English,seafoam green
13988,1,English,grey
13989,2,English,natural purp
13990,2,English,light purp
13991,1,English,caca
13992,1,English,green
13993,1,English,comprende
13994,1,English,brown
13995,1,English,pink
13996,1,English,neon
13997,1,English,grey
13998,1,English,dull
13999,1,English,dull
14000,2,English,medium green
14001,1,English,uh
14002,3,English,lighter or darker
14003,1,English,dark
14004,5,English,one looks blue to me
14005,2,English,light grey
14006,1,English,violet
14007,1,English,brownish
14008,1,English,pink
14009,1,English,caca
14010,1,English,green
14011,2,English,natural blue
14012,2,English,medium green
14013,1,English,neon
14014,1,English,blue
14015,1,English,greenish
14016,2,English,lightest pink
14017,1,English,brown
14018,1,English,dull
14019,1,English,pinkish
14020,1,English,pink
14021,1,English,grey
14022,2,English,light green
14023,1,English,caca
14024,2,English,greenish yellow
14025,1,English,oops
14026,1,English,dull
14027,1,English,neon
14028,1,English,blue
14029,1,English,pink
14030,2,English,dark blue
14031,2,English,medium green
14032,1,English,grey
14033,2,English,greenish grey
14034,1,English,grey
14035,1,English,blue
14036,1,English,grey
14037,1,English,tan
14038,2,English,light brownish
14039,1,English,purp
14040,1,English,caca
14041,3,English,green not neon
14042,2,English,lightest purp
14043,2,English,lighter blue
14044,1,English,tan
14045,1,English,Hey
14046,1,English,hello
14047,2,English,fuschia maroon
14048,2,English,blue grey
14049,2,English,pink grey
14050,2,English,blue grey
14051,2,English,almost purple
14052,1,English,purple
14053,1,English,pink
14054,1,English,yellow
14055,2,English,drab green
14056,2,English,grey blue
14057,1,English,blue
14058,2,English,not bright
14059,1,English,brown
14060,1,English,purple
14061,1,English,pink
14062,7,English,i'm bad with my purples sorry
14063,1,English,grey
14064,4,English,orange the least red
14065,1,English,pink
14066,2,English,limey green
14067,2,English,purple grey
14068,1,English,blue
14069,1,English,yellow
14070,2,English,orange tan
14071,2,English,darkest red
14072,1,English,blue
14073,2,English,gre grey
14074,1,English,yellow
14075,5,English,purple not pink or blue
14076,1,English,purple
14077,1,English,pinkish
14078,2,English,grey grey
14079,2,English,true blue
14080,1,English,pink
14081,1,English,bright
14082,1,English,green
14083,2,English,not neon
14084,1,English,grey
14085,2,English,with blue
14086,1,English,red
14087,7,English,pdark pastel pink with a little grey
14088,1,English,blue
14089,2,English,pink grey
14090,1,English,green
14091,2,English,orange yellow
14092,4,English,purple dark not bright
14093,1,English,orange
14094,3,English,orange almosy brown
14095,4,English,thse two were tough
14096,1,English,grey
14097,2,English,gre grey
14098,2,English,dark purple
14099,1,English,pink
14100,3,English,bright neon green
14101,1,English,brown
14102,2,English,lime green
14103,2,English,grey'
14104,7,English,not bright green and not dull green
14105,2,English,light blue
14106,4,English,hello by the way 
14107,1,English,hello
14108,5,English,sea green or regular blue
14109,1,English,grey
14110,2,English,sorry Blue
14111,2,English,its ok
14112,1,English,green
14113,1,English,yellow
14114,1,English,grey
14115,1,English,dark
14116,6,English,Im not the best speaker P
14117,2,English,green'
14118,3,English,lol its ok
14119,2,English,bright pink
14120,1,English,grey
14121,1,English,purple
14122,2,English,light blue
14123,1,English,yellow
14124,5,English,not violet and not pink
14125,6,English,not light blue and not grey
14126,1,English,brown
14127,1,English,green
14128,1,English,violet
14129,1,English,blue
14130,4,English,closest one to grey
14131,1,English,violet
14132,1,English,grey
14133,1,English,grey
14134,5,English,brownish grey or greenish grey
14135,1,English,brownish
14136,1,English,pink
14137,1,English,red
14138,1,English,blue
14139,7,English,not dull blue and not bright blue
14140,2,English,redish brown
14141,2,English,dark blue
14142,2,English,redish brown
14143,5,English,not pink and not purple
14144,6,English,not yellow but the greenish yellow
14145,1,English,sorry
14146,2,English,No worries 
14147,1,English,Purple
14148,1,English,purple
14149,1,English,blue
14150,2,English,greenish yellow
14151,5,English,not purple and not grey
14152,1,English,orange
14153,1,English,grey
14154,1,English,yellow
14155,5,English,grey with a pinkish tint
14156,5,English,not tan and not green
14157,1,English,pink
14158,1,English,red
14159,1,English,green
14160,2,English,redish brown
14161,1,English,brown
14162,1,English,blue
14163,5,English,not orange and not blue
14164,1,English,purple
14165,1,English,dark
14166,1,English,purple
14167,1,English,green
14168,2,English,bluish gray
14169,1,English,green
14170,1,English,gray
14171,1,English,turquoise
14172,2,English,purplish pink
14173,1,English,green
14174,5,English,blue that is more graish
14175,1,English,grayish
14176,2,English,pastel green
14177,1,English,gray
14178,2,English,cerulean blue
14179,2,English,grayish green
14180,1,English,violet
14181,1,English,brown
14182,1,English,yellow
14183,1,English,gray
14184,2,English,grayish blue
14185,2,English,darker one
14186,1,English,orange
14187,1,English,violet
14188,1,English,olive
14189,1,English,gray
14190,2,English,purplish blue
14191,2,English,olive green
14192,1,English,olive
14193,1,English,blue
14194,2,English,most blue
14195,1,English,same
14196,4,English,blue green not turquoise
14197,3,English,most radiant blue
14198,2,English,bright green
14199,1,English,red
14200,1,English,teal
14201,1,English,purple
14202,2,English,darker gray
14203,2,English,caribbean green
14204,1,English,gray
14205,2,English,grayish purple
14206,1,English,orange
14207,1,English,green
14208,2,English,royal blue
14209,2,English,aqua green
14210,5,English,the one that is brighter
14211,1,English,pink
14212,2,English,sky blue
14213,1,English,greenyellow
14214,2,English,bright violet
14215,2,English,green apply
14216,1,English,apple
14217,2,English,green yellow
14218,2,English,blue green
14219,2,English,lavender magenta
14220,2,English,purplish pink
14221,3,English,Hello anyone here
14222,3,English,hi im here
14223,7,English,Would you mind if we get started
14224,8,English,nope lets go first target in reddish brown
14225,2,English,ive green
14226,1,English,olive
14227,2,English,not lime
14228,2,English,dark pink
14229,1,English,turqouise
14230,2,English,grey brown
14231,1,English,ehhh
14232,1,English,uhmmm
14233,3,English,light or darker
14234,1,English,iddle
14235,1,English,middle
14236,10,English,in the instructions it says 'positions will be different'
14237,7,English,i mean medium brown hard to describe
14238,1,English,orange
14239,1,English,orange
14240,1,English,green
14241,1,English,orange
14242,2,English,what color
14243,1,English,olive
14244,2,English,most purple
14245,3,English,not barney purple
14246,5,English,more like nick jr purple
14247,2,English,dont know
14248,1,English,darkest
14249,1,English,blue
14250,2,English,barney purple
14251,3,English,that last one
14252,1,English,gray
14253,1,English,gray
14254,1,English,orange
14255,1,English,brown
14256,1,English,blue
14257,1,English,gray
14258,2,English,gray blue
14259,1,English,rple
14260,1,English,brown
14261,2,English,lighter blue
14262,1,English,olive
14263,4,English,not purple or blue
14264,2,English,real purple
14265,2,English,bright green
14266,1,English,turqoiuse
14267,1,English,olive
14268,1,English,purple
14269,2,English,real orange
14270,1,English,olive
14271,1,English,blue
14272,2,English,grey green
14273,5,English,i didn't get message
14274,1,English,grey
14275,2,English,grey purple
14276,1,English,turqouise
14277,2,English,really green
14278,2,English,medium blue
14279,1,English,yellow
14280,2,English,dark blue
14281,1,English,green
14282,2,English,medium green
14283,1,English,gray
14284,1,English,purp
14285,1,English,gray
14286,1,English,olive
14287,1,English,red
14288,2,English,darker purple
14289,1,English,yellow
14290,4,English,Have a Good One
14291,3,English,turqoise you too
14292,1,English,blue
14293,1,English,purp
14294,1,English,red
14295,1,English,pink
14296,1,English,purp
14297,2,English,dark green
14298,2,English,natural green
14299,1,English,purp
14300,1,English,tan
14301,1,English,purp
14302,1,English,blue
14303,1,English,dullest
14304,1,English,blue
14305,1,English,brown
14306,2,English,natural grey
14307,1,English,blue
14308,1,English,grey
14309,1,English,grey
14310,1,English,caca
14311,1,English,neon
14312,1,English,green
14313,1,English,blue
14314,1,English,green
14315,1,English,purplish
14316,1,English,pinkish
14317,1,English,dull
14318,2,English,light blue
14319,1,English,pink
14320,1,English,neon
14321,1,English,caca
14322,1,English,orange
14323,1,English,mustard
14324,2,English,greenish blue
14325,2,English,light blue
14326,1,English,grey
14327,1,English,blue
14328,2,English,light green
14329,1,English,neon
14330,2,English,natural purp
14331,1,English,brightest
14332,1,English,caca
14333,2,English,dull green
14334,1,English,bluish
14335,1,English,bluish
14336,1,English,red
14337,1,English,brown
14338,1,English,caca
14339,1,English,pink
14340,2,English,medium orange
14341,1,English,grey
14342,1,English,Hello 
14343,1,English,Hi
14344,2,English,Dark Purple
14345,4,English,Like a bright purple
14346,2,English,yellowish green
14347,2,English,bluer green
14348,1,English,green
14349,1,English,blue
14350,3,English,blue less purple
14351,2,English,olive green
14352,2,English,pinkish brown
14353,2,English,grayer blue
14354,1,English,gray
14355,1,English,blue
14356,1,English,dark
14357,1,English,gray
14358,1,English,green
14359,1,English,yellow
14360,2,English,highlighter yellow
14361,11,English,i see gray blue and something in betweenthe one in between
14362,1,English,green
14363,1,English,purple
14364,1,English,green
14365,1,English,red
14366,1,English,green
14367,1,English,yellow
14368,1,English,blue
14369,1,English,orange
14370,1,English,green
14371,1,English,peach
14372,1,English,oops
14373,1,English,gray
14374,9,English,that's ok that wasn't a good description
14375,1,English,green
14376,2,English,lighter purple
14377,1,English,green
14378,1,English,green
14379,1,English,blue
14380,2,English,darker purple
14381,3,English,green screen green
14382,2,English,pinkish purple
14383,2,English,grayish purple
14384,6,English,purple with more blue in it
14385,1,English,gray
14386,2,English,brighter green
14387,1,English,purple
14388,2,English,yellowish green
14389,1,English,green
14390,1,English,orange
14391,2,English,lighter purple
14392,2,English,darker purple
14393,1,English,orange
14394,1,English,green
14395,1,English,pink
14396,1,English,purple
14397,2,English,brownish green
14398,1,English,hi
14399,1,English,hi
14400,1,English,purple
14401,2,English,purple grey
14402,2,English,greenish tan
14403,1,English,grey
14404,2,English,orange red
14405,1,English,blue
14406,7,English,weird i don't see a blue
14407,6,English,weird hmmmok not orange or green
14408,2,English,bownish one
14409,5,English,sorry bout my typo lol
14410,2,English,no problem
14411,2,English,grey blue
14412,2,English,mint green
14413,2,English,mint green
14414,1,English,purple
14415,2,English,light blue
14416,2,English,lime green
14417,3,English,light purplish blue
14418,1,English,purple
14419,2,English,my blue
14420,2,English,oops lol
14421,1,English,yellow
14422,1,English,blue
14423,2,English,lime green
14424,1,English,purple
14425,5,English,light purple not pinkish one
14426,1,English,green
14427,1,English,blue
14428,10,English,more regular green not poopy green and not lime one
14429,1,English,purple
14430,6,English,lightest purple has more pink color
14431,1,English,ughh
14432,3,English,sea foam green
14433,3,English,sorry >o
14434,1,English,blue
14435,2,English,rose pink
14436,2,English,lime green
14437,2,English,purplelight one
14438,2,English,mint green
14439,1,English,rose
14440,2,English,grey purple
14441,2,English,dark blue
14442,5,English,sorryi thought that was purple
14443,2,English,hot pink
14444,5,English,its ok no worries   grey
14445,8,English,light purple with blue tintgrr some are hard
14446,1,English,grey
14447,1,English,rose
14448,2,English,mint green
14449,1,English,purple
14450,1,English,purple
14451,2,English,mint green
14452,2,English,mint green
14453,8,English,purple with pink tintsorry two look the same 
14454,4,English,good job D  grey
14455,1,English,thanks
14456,13,English,that was my mistake i didn't click the one i wanted to
14457,3,English,grey  No worries
14458,1,English,blue
14459,9,English,Was nice working with you  Purple the brighter one
14460,2,English,you too
14461,1,English,Hey
14462,2,English,True blue
14463,1,English,brown
14464,2,English,not orange
14465,1,English,red
14466,1,English,pink
14467,2,English,blue grey
14468,2,English,blue grey
14469,2,English,yellow green
14470,1,English,mauve
14471,1,English,darkest
14472,1,English,brown
14473,1,English,orangish
14474,2,English,pink purple
14475,2,English,blue sky
14476,2,English,not greenish
14477,1,English,green
14478,1,English,blue
14479,1,English,orange
14480,2,English,yellow green
14481,3,English,dark grey blue
14482,1,English,red
14483,1,English,purple
14484,3,English,green not bright
14485,1,English,purplish
14486,2,English,bright green
14487,2,English,almost banana
14488,1,English,green
14489,1,English,brown
14490,1,English,blue
14491,2,English,orangish brown
14492,2,English,pink purple
14493,2,English,dark yellow
14494,4,English,grey brown not oorange
14495,2,English,teal breight
14496,1,English,yellow
14497,1,English,puprple
14498,1,English,purple
14499,1,English,orange
14500,2,English,grey grey
14501,7,English,dark purple with a little more blue
14502,4,English,pink bright almost neone
14503,2,English,red orange
14504,2,English,teal bright
14505,2,English,true blue
14506,2,English,grey grey
14507,1,English,teal
14508,1,English,teal
14509,2,English,grey grey
14510,2,English,yellow green
14511,4,English,nice work so far
14512,1,English,blue
14513,2,English,yellow orange
14514,5,English,not bright almost astel pink
14515,1,English,blue
14516,2,English,yellow orange
14517,1,English,pink
14518,1,English,greenish
14519,1,English,dull
14520,1,English,orangish
14521,1,English,blue
14522,1,English,purplish
14523,1,English,tan
14524,1,English,tan
14525,1,English,blue
14526,1,English,green
14527,1,English,caca
14528,1,English,blue
14529,1,English,pink
14530,1,English,orange
14531,1,English,dull
14532,1,English,green
14533,2,English,dull purp
14534,1,English,brown
14535,1,English,neon
14536,2,English,light blue
14537,1,English,blue
14538,1,English,tan
14539,1,English,tan
14540,1,English,bluish
14541,1,English,greenish
14542,1,English,grey
14543,1,English,green
14544,1,English,dull
14545,1,English,neon
14546,1,English,blue
14547,2,English,dull purp
14548,1,English,pink
14549,1,English,purp
14550,2,English,neon blue
14551,2,English,dark purp
14552,1,English,blue
14553,2,English,purple blue
14554,1,English,red
14555,1,English,pink
14556,1,English,blue
14557,2,English,natural green
14558,2,English,natural green
14559,1,English,pink
14560,1,English,pinkish
14561,1,English,green
14562,1,English,brightest
14563,1,English,orange
14564,1,English,purp
14565,1,English,purp
14566,1,English,pinkish
14567,3,English,Lets do this
14568,1,English,purple
14569,2,English,darker purple
14570,1,English,orange
14571,11,English,we can always do dark/medium/light if they're all the same
14572,2,English,greyish purp
14573,2,English,Tough one
14574,1,English,browish
14575,1,English,whew
14576,1,English,hahaha
14577,1,English,purple
14578,1,English,purple
14579,1,English,omg
14580,1,English,hahaha
14581,2,English,purple purple
14582,1,English,teal
14583,2,English,darker blue
14584,3,English,You're good
14585,7,English,how many have you done of these
14586,1,English,grey
14587,5,English,This is my first time
14588,1,English,green
14589,7,English,I've done 13 this is 14
14590,1,English,grey
14591,1,English,orange
14592,2,English,true blue
14593,2,English,true blue
14594,1,English,purple
14595,1,English,orange
14596,1,English,darker
14597,3,English,the greyer one
14598,1,English,yes
14599,1,English,awesome
14600,2,English,pin duller
14601,1,English,pink
14602,1,English,darker
14603,5,English,hot pink or purpler pink
14604,2,English,more red
14605,1,English,red
14606,2,English,greener teal
14607,2,English,darker grey
14608,1,English,green
14609,1,English,oopsies
14610,1,English,dark
14611,2,English,pukey green
14612,1,English,lime
14613,3,English,the lighter green
14614,5,English,we'll call it that
14615,1,English,lime
14616,13,English,hmm is it the lighter one i think both could be considered lime
14617,1,English,lighter
14618,1,English,blueish
14619,1,English,blueish
14620,1,English,blue
14621,2,English,purple darker
14622,1,English,dull
14623,1,English,grey
14624,1,English,blueish
14625,2,English,got it
14626,2,English,bright purple
14627,1,English,purple
14628,1,English,pink
14629,1,English,brown
14630,3,English,same as last
14631,2,English,dull purple
14632,2,English,dull blue
14633,1,English,grey
14634,2,English,light blue
14635,1,English,tanish
14636,5,English,LOL this one is good
14637,2,English,darker grey
14638,1,English,pink
14639,4,English,lime freen not neon
14640,1,English,green
14641,1,English,grey
14642,5,English,is it the bluer grey
14643,3,English,or greener grey
14644,1,English,greener
14645,1,English,same
14646,1,English,oops
14647,2,English,whoops LOL
14648,3,English,it's okay 
14649,2,English,bright pink
14650,3,English,dangit sorry lol
14651,1,English,blue
14652,6,English,It was fantastic playing with you 
14653,1,English,u2
14654,1,English,blue
14655,1,English,purple
14656,1,English,pinkish
14657,2,English,darker green
14658,1,English,blue
14659,2,English,gray blue
14660,1,English,teal
14661,2,English,dark brown
14662,1,English,blue
14663,2,English,tealish green
14664,4,English,not so bright pink
14665,1,English,red
14666,1,English,green
14667,2,English,bright green
14668,3,English,blackish blue one
14669,1,English,blue
14670,1,English,orange
14671,1,English,green
14672,1,English,blue
14673,1,English,blue
14674,2,English,teal green
14675,2,English,yellowish green
14676,2,English,redish one
14677,2,English,blueish one
14678,3,English,not the teal
14679,2,English,blueish again
14680,1,English,sorry
14681,1,English,blue
14682,7,English,lol we only got like 2 wrong
14683,1,English,yellow
14684,1,English,green
14685,1,English,grey
14686,1,English,red
14687,1,English,purple
14688,3,English,bright green yellow
14689,1,English,purple
14690,1,English,blue
14691,2,English,bright green
14692,1,English,blue
14693,1,English,pink
14694,4,English,the lightest blue teal
14695,2,English,bright red
14696,1,English,blue
14697,1,English,green
14698,3,English,dark bright pink
14699,2,English,bright pink
14700,2,English,yeallow green
14701,1,English,orange
14702,1,English,brown
14703,1,English,pink
14704,3,English,dull green yellow
14705,2,English,brighter gray
14706,1,English,red
14707,1,English,blue
14708,1,English,brown
14709,7,English,Thank you fun game making my choice
14710,1,English,bluish
14711,2,English,dirty yellowish
14712,3,English,most gray looking
14713,1,English,bluish
14714,3,English,tan to brown
14715,2,English,dirty yellowish
14716,2,English,bright blue
14717,2,English,darkest purple
14718,4,English,closest to olive green
14719,1,English,blue
14720,5,English,not pink next brightest color
14721,2,English,bright green
14722,4,English,mauve not bright pink
14723,2,English,bright green
14724,1,English,blue
14725,1,English,yellow
14726,4,English,brighter green not dirty
14727,3,English,very light green
14728,5,English,not purple Not bright blue
14729,1,English,purple
14730,2,English,brightest pink
14731,1,English,purple
14732,2,English,bright green
14733,2,English,mauvish  lavendar
14734,1,English,blue
14735,8,English,not light green  Not dirty green  Plain green
14736,6,English,blue that looks bright like sky
14737,2,English,hot pink
14738,1,English,bluish
14739,4,English,looks like green grass
14740,2,English,pinkish red
14741,5,English,washed out greengoing to gray
14742,1,English,blue
14743,1,English,blue
14744,8,English,not bright  of the two remaining slightly darker
14745,9,English,I see grayish blue dark blue and light blue
14746,1,English,purple
14747,2,English,dirty grayish
14748,2,English,blue bright
14749,6,English,green but not dirty or olive
14750,2,English,bright green
14751,2,English,ugly yellow
14752,6,English,this one is hard darkest green
14753,4,English,brightest blue like sky
14754,3,English,purple not mauve
14755,4,English,most gray no green
14756,8,English,kind of teal green but brightest of three
14757,1,English,yellow
14758,1,English,purple
14759,8,English,not blue  Of the two remaining darkest green
14760,3,English,you did great
14761,6,English,not brown not purple  Is greenish
14762,1,English,hello
14763,1,English,hey
14764,2,English,Darker green
14765,1,English,red
14766,1,English,purple
14767,2,English,greenish blue
14768,2,English,like cyan
14769,2,English,bright purple
14770,5,English,grey with a pinkish tint
14771,3,English,like a blue
14772,2,English,or grey
14773,7,English,I have blue green/ green/ green blue
14774,7,English,I'm guessing based on the grey
14775,1,English,brown
14776,1,English,green
14777,1,English,yellogreen
14778,2,English,liike neon
14779,5,English,not purple and not brown
14780,10,English,are you getting feedback if I'm right or wrong
14781,8,English,yes you've been getting em all right
14782,1,English,niiiice
14783,5,English,are you not getting feedback
14784,2,English,dull blue
14785,11,English,A box should show around the right color once you choose
14786,14,English,the box is green when I select it maybe that means it's correct
14787,2,English,Yep lol
