specificity,Condition,Language,Message
0,equal/far,English,like a green
0,equal/far,English,like a greenish/aqua blue?
0,equal/far,English,brown
0,closer/close,English,purple
0,closer/close,English,"I see a light purple, purple, and blue"
0,closer/close,English,like a greenish brownish
0,closer/close,English,with a hint of yellow
0,further/split,English,blue
0,further/split,English,blue and not purple/blue?
0,closer/close,English,purple purple
0,closer/close,English,grey blue
0,closer/close,English,the darker blue?
0,closer/close,English,redish tint
0,equal/far,English,pink
0,further/split,English,not bright green and not orange
0,closer/close,English,grey with a white tint
0,equal/far,English,pink
0,further/split,English,blue
0,further/split,English,"I see a grey, a purple and like blue"
0,closer/close,English,yellow
0,equal/far,English,Pink
0,further/split,English,grey
0,equal/far,English,blue
0,equal/far,English,grey
0,equal/far,English,like brownish?
0,further/split,English,blueish grey
0,further/split,English,has some orange? in it
1,further/split,English,so like gold?
0,further/split,English,blue
0,further/split,English,blue
0,closer/close,English,medium blue
0,closer/close,English,"I see greenishblue, light blue and grey/purple blue"
0,closer/close,English,ah okay so the greenish one
0,closer/close,English,grey with a white tint
0,further/split,English,pink
0,further/split,English,grey
0,further/split,English,yellow
0,further/split,English,grey
0,closer/close,English,grey with a redish tint
0,closer/close,English,light purple
0,closer/close,English,bright green
0,further/split,English,blue
0,equal/far,English,purple
0,closer/close,English,grey with a white tint
0,equal/far,English,brownish
0,further/split,English,not bright pink and not yellow
0,further/split,English,so the duller faded pink?
0,equal/far,English,orange'
0,equal/far,English,orange'
0,equal/far,English,purple
0,further/split,English,not grey and not blue'
1,further/split,English,so the aqua color?
0,further/split,English,"no, the other blue"
0,further/split,English,not pink and not grey
0,equal/far,English,yellow
0,equal/far,English,grey
0,equal/far,English,blue
0,closer/close,English,closer to orange or brown/purple?
0,closer/close,English,orange
0,further/split,English,not purple and not green
0,equal/far,English,bright pink
0,closer/close,English,purple
0,further/split,English,ugly green
0,closer/close,English,medium blue
0,equal/far,English,green
0,equal/far,English,grey
1,further/split,English,turquoise
0,further/split,English,brown
0,further/split,English,greenish
0,closer/close,English,dark blue
0,further/split,English,grey
0,further/split,English,grey
0,further/split,English,blue
0,equal/far,English,green
0,equal/far,English,pinkish
0,further/split,English,pinkish red
0,equal/far,English,pink
0,closer/close,English,blue
0,further/split,English,green
0,further/split,English,pinkish
0,equal/far,English,pink
1,further/split,English,turquoise
1,closer/close,English,turquoise
0,equal/far,English,green
0,closer/close,English,not neon pink
0,equal/far,English,blue
0,further/split,English,green
0,equal/far,English,pink
0,equal/far,English,green
0,equal/far,English,green
0,closer/close,English,grey
0,closer/close,English,normal green
0,further/split,English,blue
0,equal/far,English,orange
1,closer/close,English,aqua or puke green
0,equal/far,English,light blue
0,closer/close,English,gray
0,closer/close,English,neon green
0,equal/far,English,brown
1,equal/far,English,tan
0,closer/close,English,dull blue
0,closer/close,English,dull blue
0,further/split,English,neon green
0,further/split,English,darker green
0,further/split,English,darker blue
0,closer/close,English,greyish one
0,closer/close,English,darker purple
0,equal/far,English,blue
0,equal/far,English,red
0,equal/far,English,green
0,equal/far,English,purplish
0,closer/close,English,darker green
0,equal/far,English,orangish
0,further/split,English,bluish
0,closer/close,English,purple
0,closer/close,English,brownish tint
0,further/split,English,greenish brown
0,equal/far,English,green
0,closer/close,English,brightest color
0,closer/close,English,grey
1,further/split,English,mauve
0,further/split,English,red
0,further/split,English,greenish
0,equal/far,English,greenish
0,further/split,English,darker red
0,further/split,English,dull blue
0,closer/close,English,blueish grey
0,closer/close,English,natural green
0,equal/far,English,blue
0,equal/far,English,green
0,further/split,English,blue
0,equal/far,English,grey
0,closer/close,English,duller blue
0,equal/far,English,green
0,equal/far,English,orange
0,closer/close,English,"grey, no bluish tint"
0,equal/far,English,greenish tint
0,further/split,English,darker purple
1,closer/close,English,warm tan
0,closer/close,English,dull green
0,further/split,English,brown
0,closer/close,English,blue
0,closer/close,English,darkest blue
0,equal/far,English,brightest blue
0,equal/far,English,blue
1,equal/far,English,aqua
0,closer/close,English,bright grey
0,further/split,English,green with hint of yellow
0,closer/close,English,brightest blue
0,further/split,English,dull green
0,further/split,English,lime green
1,closer/close,English,grey teal
0,further/split,English,grey purple
0,further/split,English,hot purple
0,equal/far,English,caca watermelon green
0,closer/close,English,mango yellow
0,equal/far,English,red pink
0,equal/far,English,lime green
0,further/split,English,dark blue
0,further/split,English,yellow green
0,equal/far,English,watermelon green
0,further/split,English,brown grey
0,equal/far,English,lime green
0,further/split,English,"hot purple, bot bright, but dark"
0,equal/far,English,green
1,equal/far,English,aqua
0,equal/far,English,caca green
0,closer/close,English,hot purple pink
0,closer/close,English,grey dark
0,closer/close,English,"greenish, bluish, or regular"
0,closer/close,English,bluish
1,closer/close,English,"dark peach, not bright"
0,equal/far,English,blue
0,closer/close,English,grey bluish
0,further/split,English,watermelon green
0,closer/close,English,dark purple
0,closer/close,English,hot purple
0,equal/far,English,red
0,closer/close,English,dark green
0,further/split,English,blue
0,closer/close,English,purple
0,equal/far,English,hot pink
0,closer/close,English,grey
0,further/split,English,grey water
0,equal/far,English,blue grey
0,closer/close,English,green grey
1,equal/far,English,red ruby
0,further/split,English,blue
0,equal/far,English,mustard yellow
1,further/split,English,light aqua
0,closer/close,English,dark grey
0,equal/far,English,orange
0,further/split,English,grey
0,closer/close,English,blue
0,equal/far,English,red
0,further/split,English,lime green
0,equal/far,English,red
1,closer/close,English,aqua bright
0,closer/close,English,greenish dark
0,further/split,English,light purple
0,further/split,English,Orange
1,closer/close,English,lavender
0,equal/far,English,pink
0,equal/far,English,blue
0,equal/far,English,gray blue
1,further/split,English,lavender same as earlier
1,further/split,English,lavender same
0,further/split,English,purple
0,further/split,English,blue
0,closer/close,English,not the dark yellow. mustard colored
0,closer/close,English,pale green
1,further/split,English,lavender same as eariler
0,further/split,English,blue with purple undertones
0,equal/far,English,barney purple
1,closer/close,English,very pink not the lavender or redish pink
0,further/split,English,red
0,closer/close,English,sky blue
0,closer/close,English,orange
0,further/split,English,blue
0,closer/close,English,pink
0,equal/far,English,gray
0,equal/far,English,green
0,closer/close,English,bright blue
0,closer/close,English,pale pink
0,closer/close,English,blue
0,equal/far,English,green
0,equal/far,English,green
1,further/split,English,peach
0,closer/close,English,steel gray
1,equal/far,English,aqua
0,closer/close,English,barney purple pink
0,further/split,English,lime green
0,further/split,English,forest green
0,closer/close,English,barney purple pink
1,closer/close,English,fuschia
1,equal/far,English,lavender
0,further/split,English,purple
0,closer/close,English,green
0,further/split,English,yellow
1,equal/far,English,lavender
0,further/split,English,blue green
0,equal/far,English,blue green
0,equal/far,English,pink
0,further/split,English,purple
0,further/split,English,orange
0,equal/far,English,yellow
0,closer/close,English,grass the palest one
0,equal/far,English,sky blue
0,equal/far,English,orange
0,equal/far,English,blue
0,equal/far,English,blue
0,further/split,English,light blue?
0,further/split,English,grey
0,equal/far,English,pink
0,closer/close,English,grey?
0,further/split,English,bright green
0,closer/close,English,grey
0,further/split,English,green
0,closer/close,English,darkest pink
0,equal/far,English,grey
0,further/split,English,grey
0,closer/close,English,greyish brown
0,equal/far,English,pink
0,equal/far,English,green
0,closer/close,English,greyish
0,equal/far,English,grey
0,further/split,English,grey green?
0,further/split,English,purple?
0,closer/close,English,pink
0,closer/close,English,grey
0,equal/far,English,yellow
0,closer/close,English,grey
0,further/split,English,bright pink
0,equal/far,English,blue
0,equal/far,English,blue
0,closer/close,English,dull green?
0,equal/far,English,pink
0,further/split,English,yellow
1,closer/close,English,violet purple
0,further/split,English,pink
0,further/split,English,bright blue
0,closer/close,English,light pink
0,closer/close,English,light pink
0,closer/close,English,grey
0,closer/close,English,light green
0,further/split,English,blueish purple
0,further/split,English,purple
0,equal/far,English,grey
0,equal/far,English,green
0,closer/close,English,pink
0,further/split,English,blue
0,closer/close,English,bright blue
0,equal/far,English,red
0,further/split,English,light green
0,equal/far,English,purple
0,equal/far,English,grey
0,equal/far,English,purpleish blue
0,further/split,English,pink
0,equal/far,English,purple
0,equal/far,English,grey
0,equal/far,English,orangish
0,closer/close,English,light green
0,closer/close,English,blue
0,closer/close,English,"uh, grey green?"
0,further/split,English,grey
0,closer/close,English,orange sand
0,equal/far,English,light pink
0,equal/far,English,blue
0,further/split,English,not the green or purple
0,further/split,English,bright pink
0,closer/close,English,darker grey with more color to it
0,further/split,English,bright pink
0,further/split,English,purple
0,closer/close,English,lighter pink
0,closer/close,English,purple
0,further/split,English,not blue or green. yellowish
0,closer/close,English,"the darkest one, greenish"
0,equal/far,English,red
0,further/split,English,bright green
0,closer/close,English,bright green
0,closer/close,English,um the darkest one
0,equal/far,English,green
0,equal/far,English,blue
0,further/split,English,purple
0,further/split,English,pink
0,further/split,English,darkest green
0,closer/close,English,dark green
0,equal/far,English,green
0,equal/far,English,orange
0,equal/far,English,yellow
0,equal/far,English,red
0,equal/far,English,redish. like red sand
0,equal/far,English,blue
0,closer/close,English,dark green
0,equal/far,English,blue
0,equal/far,English,pink
0,equal/far,English,purple
0,further/split,English,purple
0,closer/close,English,green
0,further/split,English,the least bright green
0,equal/far,English,green
0,closer/close,English,lightest purple
0,further/split,English,bright blue. baby blue
1,closer/close,English,Lavender
1,further/split,English,Gold
0,closer/close,English,Darkest purple
0,equal/far,English,Purple
0,further/split,English,More Saturated blue
0,equal/far,English,Gray
0,equal/far,English,Red
0,further/split,English,Blue
0,closer/close,English,Blue
0,equal/far,English,Green
0,equal/far,English,Gray
0,equal/far,English,Purple
0,closer/close,English,Brown
0,further/split,English,Green
0,further/split,English,Darker purple
0,further/split,English,Darker purple
1,further/split,English,Tan
0,closer/close,English,Hot pink
0,equal/far,English,olive green
0,closer/close,English,The greenest one
0,closer/close,English,Mid-tone green. Looks like grass.
0,further/split,English,"Sharpest, brightest green."
0,closer/close,English,Middling blue
0,closer/close,English,Sharpest green
0,closer/close,English,looked purple lol
0,further/split,English,Purple
0,equal/far,English,light blue
0,equal/far,English,"Only blue there, really"
0,equal/far,English,pink
0,equal/far,English,blue
0,closer/close,English,"i see dark, light and a greenish"
0,closer/close,English,Darkest gray. The one that looks like it has a tinge of blue...
0,further/split,English,Hot Pink
0,closer/close,English,Purple
0,equal/far,English,Sand/tan/light brown
0,equal/far,English,Blue
0,equal/far,English,purple/hot pink
0,equal/far,English,darker blue
0,equal/far,English,red
0,closer/close,English,yellow
1,closer/close,English,gold
1,further/split,English,blue-green. looks like a mixture of the other two
0,further/split,English,the brighter pink
0,equal/far,English,pick the green square
0,equal/far,English,pick the dull blue (not bright blue) square
0,further/split,English,"there are two blue squares, pick the one that is slightly darker"
1,equal/far,English,You're doing great. Now pick the rose colored square.
0,equal/far,English,Excellent! Now pick the lime green square.
1,equal/far,English,Yes! Now pick the griege (gray + beige) square
0,further/split,English,Thanks. Now pick the orange square
1,closer/close,English,Hooray! Okay now we want the fuschia (pinky) one.
1,further/split,English,"Good, not it's one rose colored one, slightly brighter than the other"
0,equal/far,English,Good job! Please pick the purple square
0,further/split,English,Yes! This time pick the gray square
0,closer/close,English,Bravo! Now we want the blue square
0,closer/close,English,ok - so is it more blue or more green
0,closer/close,English,more green
1,equal/far,English,Yes! This time please pick the soft rose one
0,equal/far,English,is it more red or more purple?
0,equal/far,English,good question.  it is more purple
0,equal/far,English,is it more bright than the other one or does it look more gray?
0,further/split,English,please pick the purple square
0,closer/close,English,Good job! please pick the bright blue square
0,equal/far,English,please pick the yellow square
0,further/split,English,Yes! Please pick the yellow square that has a hint of orange
0,closer/close,English,Yup! Okay now pick the purple square that is more bright in tone
0,closer/close,English,"Yes! Please pick the blue that is a true blue, not light blue"
0,closer/close,English,Yes! Now pick the darkest of the greenish squares
0,further/split,English,"Yes! now pick the purple square, closest to a true purple"
0,equal/far,English,Yes Now we want the blue square
0,equal/far,English,Yes! This time pick the gray square
0,equal/far,English,"Good.  Now pick the bright green square, it has a little yellow in it"
0,closer/close,English,Yes! We want the blue square that is the brightest but not the lightest
0,closer/close,English,Correct!! Now we want the purple square that has a bit of gray/brown
1,further/split,English,You got it.  Now pick the beige square
0,further/split,English,Yes! Now pick the blue/green with the gray tone
0,further/split,English,the one that looks more red or the oone that looks more orange?
0,further/split,English,more red :)
0,further/split,English,darker green
0,closer/close,English,purple grey but no the red looking one
0,further/split,English,"awesome, those two looked really close. this one is the purple one"
1,equal/far,English,teal
0,further/split,English,hot pink
0,equal/far,English,dark green
0,further/split,English,light purple
0,further/split,English,purple
0,equal/far,English,green
0,further/split,English,no joke! the brighter pink
0,equal/far,English,green
0,equal/far,English,light blue
0,closer/close,English,lol not bad though. gray
0,closer/close,English,hot pink
0,closer/close,English,yellow brown
0,equal/far,English,pink
0,further/split,English,bright red
0,closer/close,English,the green that looks like it could have a little yellow in it
0,equal/far,English,"green, its ok"
0,further/split,English,dark green
0,further/split,English,purple not the brighter one but the dull one
1,further/split,English,"blue, not teal"
0,closer/close,English,brighter purple
1,further/split,English,"teal, not purple one and not the dull green one"
0,further/split,English,if you see a red blue and green it would be the green.
0,further/split,English,green
0,closer/close,English,dark green
0,closer/close,English,brighter purple
0,equal/far,English,blue
0,further/split,English,yellow
0,equal/far,English,dull purple
0,further/split,English,lighter purple
0,closer/close,English,almost matches the gray around our text box
0,equal/far,English,gray
0,equal/far,English,blue
1,equal/far,English,bright blue/purple. not teal and not yellow brown
1,equal/far,English,"rose, grey and hot pink. it is hot pink"
0,equal/far,English,purple
0,further/split,English,purple
0,equal/far,English,greenish yellow
0,further/split,English,"green, but not the bright one,"
0,equal/far,English,pink
1,closer/close,English,"purple, brighter, not pink or lavender"
0,equal/far,English,blue
0,further/split,English,grey
0,closer/close,English,Barbie pink NOT purple
0,closer/close,English,grey
0,further/split,English,bright yellow
0,equal/far,English,pink
0,further/split,English,yellow
0,further/split,English,blue
0,further/split,English,green Not the bluish one
0,further/split,English,blue the one that's a little darker
0,equal/far,English,orange
0,equal/far,English,pink brighter slightly more purple
0,equal/far,English,pink
0,equal/far,English,light purple
1,further/split,English,blue-green
0,equal/far,English,blue
0,closer/close,English,"slightly darker green, Not bright"
0,further/split,English,green
0,closer/close,English,brownish
0,closer/close,English,yellowish green
0,closer/close,English,"purple brighter, not barbie pink"
1,closer/close,English,greenish tan not gray
0,closer/close,English,green not bluish not blah
1,further/split,English,purple not lavender
0,closer/close,English,"green not the brightest one, not the yellow one"
0,further/split,English,pink
0,further/split,English,"blue slightly purplish, not the obvious blue"
0,equal/far,English,green
0,equal/far,English,the darker blue
0,closer/close,English,purplish
0,closer/close,English,"grey, not the one that is slightly purplish"
0,further/split,English,grey
0,closer/close,English,"darker, brighter purple, Not the pink"
0,closer/close,English,"grey, no hint of red"
0,equal/far,English,purple
0,further/split,English,"blue, not bright, and not purple"
0,closer/close,English,pink bright (barbie pink) not purple
0,further/split,English,yucky yellowish green
0,equal/far,English,pink!
0,equal/far,English,greenish blue
0,equal/far,English,greenish blue again not the blue-blue
0,closer/close,English,"dark purple, it's the one that is most 'purple' not blue-purple or red-purple"
0,closer/close,English,brightest green
0,further/split,English,brown
0,further/split,English,grey
0,further/split,English,pink
0,equal/far,English,orange
0,further/split,English,yellow
0,closer/close,English,grey
0,equal/far,English,blue
0,closer/close,English,bright pink
0,further/split,English,blueish green
0,closer/close,English,greenish yellow
0,further/split,English,grey
0,equal/far,English,grey
0,further/split,English,pink
0,closer/close,English,blue?
0,closer/close,English,grey with a blue tint
0,closer/close,English,orange
0,equal/far,English,pink
0,closer/close,English,dull blue
0,closer/close,English,light blue
0,equal/far,English,grey
0,further/split,English,greyish brown
0,further/split,English,greyish brown
0,further/split,English,same color as last time
0,further/split,English,light blue
0,closer/close,English,sky blue?
0,closer/close,English,grey with a white tint
0,further/split,English,bright blue
0,closer/close,English,purple
1,closer/close,English,violet
0,equal/far,English,purple
0,equal/far,English,or grey
0,closer/close,English,bright green
0,closer/close,English,grey
0,closer/close,English,grey with a blue? tint
0,equal/far,English,green
0,further/split,English,grey
0,equal/far,English,redish brown
0,further/split,English,grey with a red tint
0,equal/far,English,brownish
0,equal/far,English,blue green
0,equal/far,English,grey
0,closer/close,English,green
0,equal/far,English,purple
0,closer/close,English,yellowish green
0,closer/close,English,blue?
0,closer/close,English,sky blue
0,equal/far,English,orange
0,equal/far,English,red
0,equal/far,English,green
0,further/split,English,greenish yellow
0,further/split,English,grey
0,equal/far,English,blue
0,equal/far,English,orange
0,equal/far,English,it is close to the color blue
0,further/split,English,yellow
0,further/split,English,dark shade of blue
0,further/split,English,a very dull shade of green
0,further/split,English,light green
0,equal/far,English,grey
0,equal/far,English,pink
0,equal/far,English,orange
0,further/split,English,dull shade of purple
0,further/split,English,light green
0,closer/close,English,bright purple
0,closer/close,English,light shade of blue
0,closer/close,English,dull shade of purple
0,equal/far,English,dull red
0,closer/close,English,light grey
0,closer/close,English,light grey
1,closer/close,English,dull beige
1,closer/close,English,bright beige
0,further/split,English,bright purple
1,equal/far,English,bright teal
0,equal/far,English,red
0,equal/far,English,blue
0,closer/close,English,light and bright green
0,equal/far,English,dull purple
0,closer/close,English,dull brown
0,equal/far,English,dull brown
0,closer/close,English,very dull shade of green
0,further/split,English,very dull shade of green
0,equal/far,English,grey
0,further/split,English,orange
0,closer/close,English,light blue
0,further/split,English,bright yellow
0,further/split,English,purple
0,closer/close,English,greyish blue
0,further/split,English,light blue
1,further/split,English,beige
0,closer/close,English,greyish blue
1,closer/close,English,teal
1,equal/far,English,bright teal
0,equal/far,English,green
0,further/split,English,dull purple
0,equal/far,English,dark purple
0,closer/close,English,greyish green
1,further/split,English,beige
0,closer/close,English,light blue
0,closer/close,English,bright grey
0,equal/far,English,grey
0,further/split,English,red
0,equal/far,English,grey
1,further/split,English,teal
0,equal/far,English,red plus blue = ?
0,further/split,English,barney purple?
1,further/split,English,teal
0,closer/close,English,mango yellow
0,equal/far,English,hot purple
0,equal/far,English,lime green
0,closer/close,English,caca green?
1,equal/far,English,apricot?
0,closer/close,English,pink grey?
0,further/split,English,sky blue
0,further/split,English,or water blue
0,closer/close,English,blue
0,closer/close,English,barney grey
0,equal/far,English,ime green?
0,further/split,English,blueish barney
0,further/split,English,darker sea foam
0,closer/close,English,lime yellow
0,equal/far,English,green?
0,further/split,English,yellow mustard
0,further/split,English,yellow
0,closer/close,English,dark blue
1,closer/close,English,pale rose
1,closer/close,English,pale rose
0,closer/close,English,the darker blue
0,further/split,English,the more blueish gray
0,further/split,English,the brighter purple
0,equal/far,English,gray
0,closer/close,English,brighter purple
0,equal/far,English,browish green or orlive
0,closer/close,English,ugh. lighter green
1,closer/close,English,the one that is more tan
0,closer/close,English,or more gray
0,further/split,English,"I'm a guy so this is not my forte!  More sky blue, less intense"
0,further/split,English,purple
0,closer/close,English,more intense purple
0,equal/far,English,purple
0,closer/close,English,blue
0,equal/far,English,orange
0,equal/far,English,red
0,closer/close,English,darkest green
0,closer/close,English,medium green?
0,equal/far,English,"darkest, dullest green"
0,closer/close,English,darkest  bordering olive
0,further/split,English,purple
0,further/split,English,red
0,equal/far,English,dark blue
0,equal/far,English,green
0,equal/far,English,pink
0,equal/far,English,gray
0,closer/close,English,light green medium in range
0,equal/far,English,blue
0,further/split,English,gray
0,further/split,English,hot pink or light
0,further/split,English,sky blue (not intense or darkish tones)
0,equal/far,English,green
0,further/split,English,darker less intense green
0,equal/far,English,pink
0,closer/close,English,olive
0,closer/close,English,purple
0,closer/close,English,dark blue
0,further/split,English,dark blue
0,further/split,English,more intense purple
0,closer/close,English,darker purple
0,equal/far,English,yellow
0,further/split,English,olive
0,closer/close,English,darker blue
0,further/split,English,less intense or bright purple
0,closer/close,English,purple
0,equal/far,English,darker green
0,closer/close,English,ugh.  brighter purple?
0,equal/far,English,green  turkquoise?
0,further/split,English,the darker green (but not by much!)
0,closer/close,English,pure purple (no pink in it?)
0,equal/far,English,"yes, caca green, brown caca, barney?"
0,equal/far,English,grey
0,closer/close,English,grey purple
0,further/split,English,light blue
0,closer/close,English,"caca green, but with mustard on it"
0,equal/far,English,ugly pink
0,further/split,English,boring grey
0,closer/close,English,boring grey ^2
0,closer/close,English,"caca green crayon, but not lime caca green nor medium"
0,closer/close,English,"red purple, but not hot pink, or bright pink"
0,closer/close,English,dark pink?
0,further/split,English,i think that was hot pink. or im blind
0,further/split,English,purple hurt your eyes pink
1,closer/close,English,"aqua water bluish, not that light one, darker shade"
0,equal/far,English,purple hot pink
0,closer/close,English,"yellow green, but not mustard, and not dark"
0,closer/close,English,boring dark shade grey
0,equal/far,English,caca green
1,further/split,English,aqua bright
1,closer/close,English,peach
0,closer/close,English,hot pink
0,equal/far,English,brown
0,equal/far,English,hot purple
0,further/split,English,boring grey
1,equal/far,English,peach
0,closer/close,English,boring grey
0,further/split,English,purple shade
0,closer/close,English,"hot purple, not the one you clicked before, lol"
0,equal/far,English,"light green, apple jacks"
0,closer/close,English,hot purple
0,closer/close,English,"grey brown, dark"
0,equal/far,English,yellow mango
0,equal/far,English,lime green
0,equal/far,English,purple
0,further/split,English,hot purple
0,equal/far,English,hot purple
0,closer/close,English,dark grey
0,equal/far,English,orange
0,further/split,English,watermelon green
0,further/split,English,lime green
0,equal/far,English,mango yellow
0,equal/far,English,hot purple
0,further/split,English,blue dark
0,further/split,English,dark blue purple
1,further/split,English,teal
0,further/split,English,hot pink
0,further/split,English,"watermelong green, not lime green"
0,equal/far,English,purple
0,further/split,English,Caca Brown!
1,equal/far,English,dark teal
0,further/split,English,green
0,equal/far,English,grey
1,further/split,English,mauve
0,equal/far,English,pink
0,closer/close,English,bright green
0,equal/far,English,dull green
0,equal/far,English,red
0,equal/far,English,brown
0,equal/far,English,purple
0,closer/close,English,darkest green
0,closer/close,English,the one with the least blue
0,further/split,English,dull purple
0,equal/far,English,blue
0,further/split,English,grey
0,further/split,English,blue
0,further/split,English,brightest purple
1,closer/close,English,light tan
1,equal/far,English,teal
0,further/split,English,dull purple
0,further/split,English,green not light
0,further/split,English,bluest blue
0,closer/close,English,pale green
0,further/split,English,pale red
0,closer/close,English,brightest green
0,further/split,English,"green, NOT the bright one"
0,closer/close,English,brownish one
0,closer/close,English,grey with a hint of purple
0,equal/far,English,pink
0,equal/far,English,grey
0,equal/far,English,green
0,further/split,English,grey
1,closer/close,English,darker teal
0,closer/close,English,bright green
0,closer/close,English,pale green NOT the actual green
0,closer/close,English,brightest purple
0,equal/far,English,orange
1,further/split,English,dark teal
0,equal/far,English,green
0,equal/far,English,purplish blue
0,closer/close,English,darkest color
0,closer/close,English,darker pink
0,further/split,English,purple
0,closer/close,English,dull purple
1,further/split,English,aqua
0,further/split,English,purple
0,equal/far,English,grey
0,closer/close,English,brighter green
0,equal/far,English,green
0,further/split,English,more reddish
0,equal/far,English,its the color of sand
0,further/split,English,looks more mustard yellow than greenish yellow
0,closer/close,English,closer to grass green than fluorescent
0,closer/close,English,its the not bright pink one
0,closer/close,English,the bright pink but not purplish
0,further/split,English,"not bright green, not brown, kinda greenish brown"
0,equal/far,English,green
0,equal/far,English,blue
0,equal/far,English,pink
0,equal/far,English,blue
0,closer/close,English,"its not yellow, the green thats less yellowy"
0,equal/far,English,purple
0,equal/far,English,"kinda mauvey color, not grey, not pink"
0,equal/far,English,yellow
0,further/split,English,yellow
0,equal/far,English,pink
0,equal/far,English,orange
0,further/split,English,bright pink
0,further/split,English,green
0,equal/far,English,green
1,further/split,English,peach
0,closer/close,English,its the brownish green one
0,further/split,English,brightest pink
0,closer/close,English,grey
0,further/split,English,less fluorescent looking pink
0,closer/close,English,its the most orange one
0,closer/close,English,"not blue not purple, looks kinda purply grey"
0,further/split,English,its the green with more blue in it than yellow
0,closer/close,English,"not pink, not greyish, just purple"
0,further/split,English,more dull yellow looking
0,equal/far,English,greyish blue
0,closer/close,English,the most blue
0,closer/close,English,the lighter of the two blues
0,further/split,English,purple
0,further/split,English,mustard yellow
0,closer/close,English,its the blue one that is a lighter shade
0,closer/close,English,its the brown one that has more yellow in it
0,further/split,English,its the green one
0,further/split,English,dull purple
0,equal/far,English,orange
0,further/split,English,true grey not the greyish green one
0,equal/far,English,pink
0,closer/close,English,reddish pink but not the dull looking one
0,further/split,English,mustard yellow
0,equal/far,English,blue
0,equal/far,English,purple
0,further/split,English,brown
0,closer/close,English,olive green
0,closer/close,English,brown
0,further/split,English,green
0,further/split,English,blue gray
0,equal/far,English,gray
0,further/split,English,lime green
0,equal/far,English,yellow
0,equal/far,English,green
0,closer/close,English,gray
0,closer/close,English,bright blue
0,equal/far,English,brownish
0,closer/close,English,dull green
0,equal/far,English,blue
0,further/split,English,dull green
0,further/split,English,blueish
0,further/split,English,dull purple
0,closer/close,English,darkest
0,closer/close,English,gray purple
0,closer/close,English,gray blue
0,equal/far,English,red
0,further/split,English,olive green
0,closer/close,English,ddark purple
0,equal/far,English,blue
0,closer/close,English,bright green
0,closer/close,English,bight green
0,further/split,English,blue
0,further/split,English,bright purple
0,equal/far,English,green
0,further/split,English,green
0,further/split,English,tanish brown
0,closer/close,English,darkest one
0,equal/far,English,blue
0,further/split,English,darker green
0,equal/far,English,dark green
0,equal/far,English,gray
0,further/split,English,bright blue
0,equal/far,English,yellowish
0,equal/far,English,grayish
0,closer/close,English,gray blue
0,further/split,English,brighter pink
0,equal/far,English,pink
0,closer/close,English,brighter green
0,closer/close,English,caca green
0,further/split,English,grey
0,equal/far,English,red
0,equal/far,English,blue
0,equal/far,English,blue
0,further/split,English,hot pink
0,closer/close,English,dark blue
0,equal/far,English,light blue
0,further/split,English,ilght purple
0,further/split,English,dark blue
0,further/split,English,grey
0,equal/far,English,yellow
0,further/split,English,blue
1,closer/close,English,teal
0,closer/close,English,purple pink
0,equal/far,English,brown
0,further/split,English,green not neon
0,equal/far,English,lime green
0,equal/far,English,blue
0,further/split,English,red
0,equal/far,English,grey
0,equal/far,English,blue
0,closer/close,English,blue green neon
0,closer/close,English,grey
0,closer/close,English,red
0,closer/close,English,blue
0,closer/close,English,hot pink purple
0,closer/close,English,"brown, not lite"
0,further/split,English,dark purple
0,equal/far,English,dark purple
0,closer/close,English,light purple
1,further/split,English,green aqua
0,equal/far,English,pink purple
0,further/split,English,mango orange
0,closer/close,English,green
0,further/split,English,grey
0,closer/close,English,lime green
0,further/split,English,brown
0,closer/close,English,pink
0,closer/close,English,yellow green
0,equal/far,English,pink
0,equal/far,English,mango orange
0,equal/far,English,blue
0,closer/close,English,"lime green, yellow"
0,further/split,English,lime green
1,further/split,English,peach
0,further/split,English,red
0,further/split,English,orange
0,further/split,English,blue
0,closer/close,English,dark purple
0,closer/close,English,dark pink
0,equal/far,English,green
0,closer/close,English,grey
0,closer/close,English,dark pink
0,equal/far,English,pink
0,further/split,English,dark grey
0,closer/close,English,yellow
0,equal/far,English,purple
0,equal/far,English,brown
0,equal/far,English,dark green
0,closer/close,English,darkest green
0,further/split,English,dark green
0,closer/close,English,dark purple
0,further/split,English,green
0,equal/far,English,brown
0,equal/far,English,yellow
0,closer/close,English,blue
0,further/split,English,grey
0,further/split,English,darkest grey
0,closer/close,English,dark green
0,further/split,English,pink
0,equal/far,English,green
0,equal/far,English,brown
0,equal/far,English,brown
0,closer/close,English,brown
0,equal/far,English,green
0,further/split,English,blue
0,further/split,English,dark green
0,equal/far,English,pink
0,further/split,English,dark green
0,closer/close,English,light purple
0,further/split,English,brown
0,further/split,English,purple
0,closer/close,English,purple
0,further/split,English,pink
0,equal/far,English,green
0,further/split,English,brown
0,closer/close,English,dark grey
0,further/split,English,yellow
0,further/split,English,green
0,closer/close,English,dark green
0,closer/close,English,light green
0,equal/far,English,grey
0,equal/far,English,grey
0,further/split,English,brown
0,closer/close,English,dark green
0,equal/far,English,purple
0,equal/far,English,pink
0,closer/close,English,grey
0,further/split,English,purple
0,equal/far,English,green
0,further/split,English,lighter grey
0,further/split,English,orange
0,closer/close,English,blueish grey
0,further/split,English,neon green
