tokens,Condition,Language,Message
4,equal/far,English,it is a teal
4,further/split,English,girls like the best
2,equal/far,English,tennessee volunteer
3,equal/far,English,like fruit orange
1,equal/far,English,money
4,further/split,English,not blue or orange
3,equal/far,English,stop sign color
2,closer/close,English,teal like
3,further/split,English,purple like grape
6,further/split,English,it is the dullest not teal
2,equal/far,English,rainy day
5,further/split,English,kind of a purple tinge
2,closer/close,English,rainy day
4,equal/far,English,girls like baby color
3,closer/close,English,brightest of green
3,further/split,English,brighest of pink
4,further/split,English,not bright of green
2,further/split,English,bright blue
2,equal/far,English,kiwi color
1,further/split,English,purple
2,further/split,English,colorful green
3,further/split,English,middle bright blue
2,closer/close,English,more green
1,equal/far,English,teal
1,equal/far,English,teal
3,closer/close,English,middle purple color
1,equal/far,English,orange
1,closer/close,English,brightest
3,closer/close,English,middle bright shade
2,closer/close,English,rainy day
1,equal/far,English,purple
2,closer/close,English,puke green
1,closer/close,English,brightest
1,further/split,English,blue
3,further/split,English,more mellow green
1,equal/far,English,yellow
3,closer/close,English,brightest hot pink
2,equal/far,English,teal blue
1,further/split,English,grey
4,further/split,English,the brown looking one
4,equal/far,English,the really blue one
7,closer/close,English,the one that looks the most blue
3,equal/far,English,the grey one
4,further/split,English,the light blue one
9,closer/close,English,the one that has the most blue in it
3,closer/close,English,the brightest blue
3,equal/far,English,the green one
4,closer/close,English,the darker blue one
1,further/split,English,blue
4,further/split,English,the reddish brown one
1,closer/close,English,green
3,closer/close,English,the dull purple
9,closer/close,English,the color is a mix of blue and grey
4,closer/close,English,is it almost purpleish
1,closer/close,English,no
3,closer/close,English,the brightest green
2,further/split,English,bright green
1,further/split,English,pink
4,closer/close,English,they greyish looking one
10,closer/close,English,I see dark green brighter green and a brownish color
4,closer/close,English,brown one you think
1,closer/close,English,yes
1,equal/far,English,red
12,further/split,English,nice work so far  the lighter purple that isn't as bright
3,further/split,English,the dull green
3,closer/close,English,the blueish purple
1,closer/close,English,blue
2,equal/far,English,nice green
4,equal/far,English,the brown/green looking one
2,equal/far,English,or gold
1,equal/far,English,orange
1,further/split,English,grey
1,equal/far,English,teal
14,closer/close,English,i see a purple a reddish one and a pinkish one the pinkish one
1,equal/far,English,pink
1,equal/far,English,glue
1,equal/far,English,blue
1,further/split,English,teal
3,further/split,English,the lighter green
1,further/split,English,bright
11,closer/close,English,i see gold grey and a dull purple the dull purple
1,equal/far,English,grey
1,equal/far,English,grey
1,further/split,English,blue
10,further/split,English,I see two almost identical blue colors and a pink
2,further/split,English,not pink
5,further/split,English,one blue is sllightly lighter
9,further/split,English,one looks more blue/purple go with the blue one
1,equal/far,English,purple
1,further/split,English,purple
13,further/split,English,i see grey teal and a bright light blue the bright light blue
1,equal/far,English,blue
1,equal/far,English,green
13,closer/close,English,i see green a yellow green and a lime green the lime green
1,further/split,English,blue
3,further/split,English,the bright green
8,closer/close,English,i see a green one its not that
8,closer/close,English,a light blue it isn't that one
1,equal/far,English,purple
2,further/split,English,not purple
7,further/split,English,between the blues the lighter colored one
4,closer/close,English,well its been fun
3,closer/close,English,yes thank you
7,closer/close,English,not the darker green not the yellow/green
1,equal/far,English,grey
1,equal/far,English,red
3,closer/close,English,uhhh darker grey
2,closer/close,English,electric blue
3,closer/close,English,brighter or darker
1,closer/close,English,dark
1,further/split,English,green
2,further/split,English,light green
3,further/split,English,bluegreen or greengreen
1,further/split,English,greengreen
2,further/split,English,darker green
2,closer/close,English,darker green
2,closer/close,English,more vibrant
2,further/split,English,darkest blue
1,equal/far,English,purple
1,further/split,English,purple
1,equal/far,English,blue
1,further/split,English,greyish
3,closer/close,English,most vibrant green
1,further/split,English,brown
1,equal/far,English,grey
2,closer/close,English,dull greenish
1,closer/close,English,slate
1,closer/close,English,grey
2,closer/close,English,brightest pink
7,equal/far,English,the dull one not blue or pink
3,further/split,English,purpleish darker pink
3,further/split,English,darkest blue vibrant
3,further/split,English,grey pinkish tinge
2,closer/close,English,most blue
4,closer/close,English,darker or teal looking
1,closer/close,English,darker
3,equal/far,English,blue not teal
1,equal/far,English,red
2,equal/far,English,brownish grey
1,equal/far,English,blue
2,further/split,English,darker pink
3,further/split,English,vibrant or flat
1,further/split,English,flat
1,equal/far,English,teal
1,further/split,English,greyest
3,further/split,English,sort of yellowish
2,closer/close,English,darkest olive
5,closer/close,English,grey with slight blue tinge
9,closer/close,English,What I see is grey blue or dark brownish
5,closer/close,English,go with the grey one
1,equal/far,English,pink
1,equal/far,English,grey
4,closer/close,English,darker more vibrant green
2,closer/close,English,blueish purple
1,further/split,English,pink
2,further/split,English,darker purple
6,further/split,English,the purplegrey or more flat purple
7,further/split,English,ot's more vibrant on my end
4,further/split,English,not the grey one
1,closer/close,English,yellowest
1,equal/far,English,green
1,equal/far,English,grey
1,further/split,English,grey
1,closer/close,English,purpleish
1,equal/far,English,green
2,further/split,English,purple grey
1,equal/far,English,red
1,closer/close,English,yellowest
2,closer/close,English,greyish flat
1,further/split,English,blue
7,closer/close,English,Click on the slightly more pastel purple
5,further/split,English,Click on the bright blue
4,equal/far,English,Click on the ashgrey
4,equal/far,English,not the blueish one
8,further/split,English,Click on the green that is more neon
5,closer/close,English,Click on the brownish one
5,closer/close,English,not either of the greens
7,further/split,English,Click on the brighter more neon green
7,further/split,English,Click on the paler not bright pink
12,closer/close,English,Click on the grey that is more red than it is blue
7,closer/close,English,Click on the dull notbright red color
6,further/split,English,Click on the dull mossyyellow green
5,further/split,English,Click on the dull green
11,further/split,English,Click on the grey that does not have a reddish tint
5,closer/close,English,Click on the blue square
5,further/split,English,Click on the bright blue
6,closer/close,English,It's the medium dull green
8,closer/close,English,Same as last time; dull not bright
7,closer/close,English,It's the slightly brighter purple one
1,equal/far,English,Tan
2,closer/close,English,Dull purple
1,equal/far,English,purple
1,further/split,English,Purple
3,equal/far,English,The teal one
3,closer/close,English,grey non orange
1,equal/far,English,yellow
1,equal/far,English,purple
2,further/split,English,yellowish green
1,equal/far,English,grey
2,equal/far,English,purplish brown
1,equal/far,English,blue
1,equal/far,English,brown
2,further/split,English,dull green
3,closer/close,English,nonbrown nonblue grey
2,closer/close,English,Bright blue
3,closer/close,English,Deep dull purple
1,further/split,English,yellow
3,closer/close,English,the nonyellow green
1,equal/far,English,green
2,closer/close,English,bright pink
2,equal/far,English,dull green
2,equal/far,English,nonreddish grey
2,further/split,English,bright blue
1,equal/far,English,yellow
1,equal/far,English,green
2,further/split,English,bright red
1,equal/far,English,green
1,closer/close,English,purple
2,further/split,English,darker/brighter brown
7,further/split,English,not the brown with a reddish tint
1,further/split,English,greygreen
1,equal/far,English,orange
1,further/split,English,blue
1,further/split,English,red
1,equal/far,English,mustard
1,closer/close,English,blue
1,equal/far,English,blue
2,further/split,English,dark purple
2,closer/close,English,middle hue
1,equal/far,English,purple
2,equal/far,English,dark blue
1,further/split,English,blue
2,closer/close,English,brightest green
1,closer/close,English,blue
1,further/split,English,blue
2,closer/close,English,middle hue
1,equal/far,English,purple
1,further/split,English,blue
1,further/split,English,green
1,further/split,English,blue
1,equal/far,English,blue
1,equal/far,English,purple
1,equal/far,English,purple
2,closer/close,English,darkest green
1,equal/far,English,blue
2,closer/close,English,dsrk brown
1,equal/far,English,green
1,further/split,English,purple
2,further/split,English,bright purple
2,further/split,English,dark green
2,closer/close,English,bright purple
2,closer/close,English,dark mustard
2,further/split,English,bright green
1,further/split,English,purple
1,equal/far,English,blue
2,further/split,English,lighter blue
2,closer/close,English,light green
1,closer/close,English,blue
1,equal/far,English,green
1,closer/close,English,dark
1,further/split,English,dark
1,equal/far,English,pink
1,equal/far,English,red
1,further/split,English,orange
1,closer/close,English,gray
1,equal/far,English,brown
2,further/split,English,dark blue
2,further/split,English,light blue
2,closer/close,English,middle hue
2,closer/close,English,middle hue
1,closer/close,English,gray
1,equal/far,English,green
1,equal/far,English,red
1,closer/close,English,Hey
11,closer/close,English,the color to select is the one with the midlevel brightness
3,closer/close,English,Sorry about that
9,closer/close,English,it's fine this time click the brightest pink
4,equal/far,English,pick the grayest green
4,further/split,English,pick the lightest green
4,further/split,English,pick the bright green
9,equal/far,English,You don't need to say 'pick the'
3,equal/far,English,Just the color 
1,equal/far,English,purple
1,closer/close,English,greengray
1,further/split,English,blue
2,equal/far,English,bright green
2,closer/close,English,olive green
1,equal/far,English,pink
1,equal/far,English,gray
2,closer/close,English,bright green
1,equal/far,English,bluegray
3,closer/close,English,the lighter bluegreen
1,closer/close,English,nice
4,closer/close,English,we are getting better
3,closer/close,English,the darker bluepurple
2,closer/close,English,with grey
1,closer/close,English,no
1,equal/far,English,yellow
1,closer/close,English,blue
1,equal/far,English,graypink
1,further/split,English,graygreen
2,equal/far,English,bright green
2,further/split,English,bright red
2,further/split,English,light graypurple
2,further/split,English,bright green
2,further/split,English,light seagreen
1,further/split,English,pink
1,closer/close,English,yellow
1,further/split,English,yellowgreen
2,further/split,English,bright blue
1,equal/far,English,purple
2,further/split,English,light green
4,further/split,English,blue not the purpleblue
1,further/split,English,bluepurple
1,closer/close,English,yellowgreen
3,further/split,English,the light green
2,further/split,English,with yellow
1,further/split,English,yes
5,closer/close,English,the grayishred the drabest one
1,equal/far,English,green
1,equal/far,English,yellow
1,equal/far,English,red
1,equal/far,English,green
1,equal/far,English,purple
1,equal/far,English,red
2,further/split,English,bright green
2,closer/close,English,light brown
7,closer/close,English,the slightly blueish green the lightest color
1,closer/close,English,purple
1,further/split,English,gray
11,closer/close,English,the medium green not the fluorescent one not the darkest one
1,equal/far,English,Perfect
1,equal/far,English,green
6,closer/close,English,medium purple not the grayish one
3,closer/close,English,Nice work teammate
1,further/split,English,blue
4,closer/close,English,green almost grass colored
1,closer/close,English,blue/purple
1,further/split,English,orange
2,further/split,English,pinkish purple
2,further/split,English,lighter purple
6,further/split,English,More reddish purple or more pinky/magenta
2,further/split,English,more magenta
7,further/split,English,this one looks like a lighter green
2,closer/close,English,darker purple
3,equal/far,English,green screen green
5,equal/far,English,Good one on the green
2,equal/far,English,Thanks lol
2,equal/far,English,more greenish
2,further/split,English,lighter blue
2,closer/close,English,more grayish
1,further/split,English,green
1,equal/far,English,gray
1,equal/far,English,yellow
1,equal/far,English,pink
2,closer/close,English,yellowish green
1,further/split,English,orange
1,closer/close,English,gray
1,closer/close,English,blue
1,equal/far,English,green
1,closer/close,English,gray
1,equal/far,English,purple
3,closer/close,English,middle colored green
1,equal/far,English,blue
2,further/split,English,darker purple
2,closer/close,English,green scree
1,closer/close,English,n
2,closer/close,English,grayish purple
2,closer/close,English,brightest green
1,further/split,English,yellow
1,further/split,English,ish
1,equal/far,English,blue
2,closer/close,English,darker purple
1,equal/far,English,green
1,equal/far,English,olive
1,equal/far,English,purple
1,equal/far,English,gray
1,equal/far,English,purple
2,further/split,English,good one
1,further/split,English,orange
4,closer/close,English,Thanks your doing great
3,closer/close,English,So are you
1,closer/close,English,greenish
1,equal/far,English,blue
1,equal/far,English,blue
2,further/split,English,lighter orange
2,further/split,English,greener blue
1,further/split,English,gray
1,further/split,English,gray
1,equal/far,English,red
1,equal/far,English,brownish
2,closer/close,English,purpleish blue
2,closer/close,English,darker purple
2,further/split,English,olive green
1,further/split,English,browner
5,further/split,English,the sky is this color
10,closer/close,English,ocean water that is beautiful is more like this color
11,closer/close,English,this is a matt color and is also a lovely fragrance
10,closer/close,English,is it one of the colors that are very similar
10,closer/close,English,it is a little lighter than one close to it
8,closer/close,English,the sky looks this way during a storm
5,closer/close,English,cement also resembles this solor
12,closer/close,English,is it the same color as the text color in this box
1,closer/close,English,yes
8,equal/far,English,during a storm the sky is this color
5,further/split,English,bright color of the sun
5,closer/close,English,dull color of the sun
3,equal/far,English,christmas tree color
8,closer/close,English,some call this williamsburg in home pain colors
1,closer/close,English,paint
8,closer/close,English,is it one of 2 really similar colors
6,closer/close,English,yes with more color in it
2,further/split,English,stormy skies
10,closer/close,English,of the two similar colors this one is more dull
6,closer/close,English,darker of the 2 similar colors
5,further/split,English,sorry thought I had it
11,further/split,English,thats ok  this one is more like a baby girl color
4,further/split,English,the brighter or duller
3,further/split,English,brighter and darker
4,equal/far,English,lilacs are this color
8,equal/far,English,tcu cologe color  also barney is this color
5,closer/close,English,more like stormy sky color
6,closer/close,English,dull matt finish color of barney
2,further/split,English,stormy skies
2,equal/far,English,great guess
9,equal/far,English,thanks  thought it would've been the most grey
5,equal/far,English,matt and often called williamsburg
2,further/split,English,stormy skies
3,further/split,English,lighter stormy skies
4,equal/far,English,aah that was tough
3,equal/far,English,my bad  sorry
3,equal/far,English,it's fine
2,equal/far,English,stormy skies
4,further/split,English,color of pool water
2,equal/far,English,stormy skies
1,further/split,English,sun
8,further/split,English,mot west point colors but the other one
1,further/split,English,not
3,further/split,English,are you familiar
2,further/split,English,lilac flowers
1,further/split,English,no
3,further/split,English,bright pool water
1,equal/far,English,skies
2,equal/far,English,stormy skies
1,further/split,English,barney
1,closer/close,English,ahhmisclick
3,closer/close,English,thats ok  lol
4,closer/close,English,more like grass color
1,equal/far,English,lilacs
1,further/split,English,grass
1,equal/far,English,champagne
5,closer/close,English,most dull of the 3
1,equal/far,English,williamsburg
6,further/split,English,not neon but matt color grass
1,closer/close,English,grass
1,further/split,English,barney
7,closer/close,English,kind of like williamsburg with more grass
1,further/split,English,lilacs
1,equal/far,English,neon
2,equal/far,English,baby girl
1,equal/far,English,sky
2,closer/close,English,baby girl
2,closer/close,English,seafoam darker
1,equal/far,English,grass
1,equal/far,English,sky
1,closer/close,English,barney
6,further/split,English,Not bright purple and not grey
2,equal/far,English,orange'
4,equal/far,English,Hello By the way 
1,equal/far,English,Grey
1,equal/far,English,hello
1,equal/far,English,green
1,equal/far,English,purple
3,equal/far,English,grey or bright
1,equal/far,English,bright
1,equal/far,English,green
1,further/split,English,grey
5,equal/far,English,grey with a blue tint
5,closer/close,English,grey with a pink tint
1,further/split,English,grey
3,closer/close,English,bright blue'
2,closer/close,English,dark purple
5,closer/close,English,is that the pinker one
5,closer/close,English,not blue and not pink
1,equal/far,English,orange
1,further/split,English,grey
1,further/split,English,green
5,further/split,English,not blue and not pink
7,further/split,English,its got that white tint to it
6,further/split,English,darker or lighter of the two
4,further/split,English,I would say lighter
2,closer/close,English,blue looking
1,closer/close,English,grey
3,closer/close,English,with white tint
1,further/split,English,yellow
6,equal/far,English,not bright blue and not green
1,further/split,English,pink
2,further/split,English,bright pink
2,further/split,English,more blue
9,further/split,English,not grey with a pinkish tint the other grey
7,further/split,English,not dull blue but the other blue
2,further/split,English,lighter green
1,closer/close,English,green
1,equal/far,English,pink
10,closer/close,English,not grey with a pinkish tint but the other grey
3,equal/far,English,you get me
2,equal/far,English,Dull blue
1,equal/far,English,Haha
1,equal/far,English,blue
1,equal/far,English,orange
1,equal/far,English,red
1,equal/far,English,green
1,closer/close,English,grey
3,closer/close,English,greener or greyer
1,closer/close,English,greyer
1,closer/close,English,pink
2,further/split,English,dull pink
2,further/split,English,pinkish purple
5,closer/close,English,not pink and not purple
1,closer/close,English,blue
1,closer/close,English,pink
1,further/split,English,green
2,further/split,English,dull pink
1,equal/far,English,green
9,closer/close,English,not the white grey and not the pinkish grey
2,closer/close,English,purple grey
4,closer/close,English,bright blue like tourquoise
5,equal/far,English,oh I spelled that wrong
1,equal/far,English,yellow
6,closer/close,English,not pink and not pinkish grey
1,equal/far,English,green
2,further/split,English,olive green
1,equal/far,English,blue
1,equal/far,English,green
1,equal/far,English,purple
1,equal/far,English,gray
2,closer/close,English,bright purple
2,further/split,English,most orange
1,equal/far,English,blue
2,closer/close,English,dirty green
2,equal/far,English,dark blue
12,closer/close,English,most natural green i'm not sure what to say about it
3,closer/close,English,nice bright orange
5,closer/close,English,dull blue kind of gray
2,closer/close,English,dullest purple
2,equal/far,English,baby blue
2,equal/far,English,we ballin
1,further/split,English,gray
2,closer/close,English,hot pink
1,further/split,English,olive
1,closer/close,English,olive
1,equal/far,English,gray
1,equal/far,English,green
2,further/split,English,yellow green
1,closer/close,English,grayest
1,equal/far,English,green
1,further/split,English,red
10,further/split,English,the red that is more pink than the other one
1,further/split,English,pink
1,further/split,English,red
3,further/split,English,more dull purple
8,closer/close,English,not the olive not the bright green either
3,further/split,English,rainy day green/blue
1,further/split,English,mahogany
1,further/split,English,red
1,equal/far,English,blue
2,closer/close,English,light blue
1,equal/far,English,blue
2,further/split,English,dull green
1,equal/far,English,yellow
1,equal/far,English,blue
1,closer/close,English,blue
1,closer/close,English,green
2,closer/close,English,pastel green
1,equal/far,English,tan
1,closer/close,English,blue
1,closer/close,English,brightest
1,equal/far,English,blue
1,closer/close,English,brown
1,equal/far,English,green
2,further/split,English,dark purple
2,closer/close,English,purple grey
1,equal/far,English,greenish
2,equal/far,English,dull purple
2,further/split,English,duller purple
1,closer/close,English,green
3,closer/close,English,light or dark
1,closer/close,English,dark
1,equal/far,English,blue
2,closer/close,English,darker pink
1,equal/far,English,purple
1,further/split,English,green
2,closer/close,English,darker grey
2,closer/close,English,purple blue
1,closer/close,English,darker
2,closer/close,English,bright green
1,closer/close,English,darkest
2,closer/close,English,not gery
4,closer/close,English,the bluer dark one
1,closer/close,English,yes
2,further/split,English,brownish grey
2,further/split,English,light blue
1,further/split,English,purple
1,equal/far,English,purple
5,equal/far,English,i see blue not purple
2,equal/far,English,the e
1,equal/far,English,grey
1,equal/far,English,green
1,equal/far,English,turqouise
1,equal/far,English,no
1,equal/far,English,green
1,further/split,English,orange
2,further/split,English,light purple
2,closer/close,English,lighter purple
1,equal/far,English,red
1,further/split,English,purple
2,closer/close,English,yellowish green
2,closer/close,English,darker green
1,equal/far,English,green
2,equal/far,English,yellow green
1,equal/far,English,no
2,further/split,English,purple brownish
1,equal/far,English,green
1,equal/far,English,yellow
1,equal/far,English,purple
2,further/split,English,darker pink
1,further/split,English,pink
1,closer/close,English,puke
1,equal/far,English,green
3,equal/far,English,that was accidnet
3,equal/far,English,it's okay
1,equal/far,English,green
1,closer/close,English,bluest
2,closer/close,English,darker green
2,equal/far,English,light blue
1,further/split,English,greyist
1,equal/far,English,purple
2,further/split,English,purple grey
1,equal/far,English,yellow
2,further/split,English,blue lighter
2,closer/close,English,green darker
2,further/split,English,light purple
1,further/split,English,blue
2,further/split,English,light purple
2,closer/close,English,purplish grey
1,equal/far,English,yellow
1,closer/close,English,blueist
1,closer/close,English,grey
2,further/split,English,dullest color
7,closer/close,English,the target is the light blue color
4,further/split,English,the target is yellow
4,closer/close,English,the target is purple
7,closer/close,English,the target is the neon lime green
8,closer/close,English,the target is the brightest shade of pink
4,equal/far,English,the target is purple
7,closer/close,English,the target is the orangeish looking color
12,closer/close,English,the target is tan/beige the one that is more brown than grey
5,equal/far,English,the target is lime green
10,further/split,English,the target is the green color not the turquoise one
2,further/split,English,the brown
2,equal/far,English,the brown/orange
3,closer/close,English,the purpleish one
15,further/split,English,it's the red one but not the fire engine red/brighter red of the two
9,further/split,English,the green one but not the lime green/neon one
3,further/split,English,the brownish one
1,equal/far,English,red
2,equal/far,English,the purple
2,equal/far,English,the purple
12,closer/close,English,of the two darker greens it is the brighter/lighter of the two
2,further/split,English,the pink/purple
2,further/split,English,the yellow
3,further/split,English,the brownish one
3,closer/close,English,the brightest pink
15,further/split,English,of the two greys it's the one that has a little brown in it
2,equal/far,English,the purple
2,equal/far,English,the purple
3,closer/close,English,the pink one
3,equal/far,English,the olive green
7,closer/close,English,of the two grays the lighter one
2,closer/close,English,the yellow
3,closer/close,English,the bright green
2,further/split,English,the brown
2,equal/far,English,the gray
2,further/split,English,the purple
3,closer/close,English,the olive green
2,further/split,English,the purple
3,equal/far,English,the lime green
2,equal/far,English,the purple
3,further/split,English,the dark purple
3,equal/far,English,the darkish blue
9,closer/close,English,of the three shades it's the middle brightness
5,closer/close,English,more of an orangey pink
2,equal/far,English,the purple
6,equal/far,English,haha your doing a great job
1,further/split,English,thanks
2,further/split,English,the purple
2,equal/far,English,the blue
7,closer/close,English,the brightest green the mint green color
7,further/split,English,of the two greys the brighter/lighter one
1,equal/far,English,blue
2,equal/far,English,the grey
3,equal/far,English,you did great
5,equal/far,English,sorry about the last few
13,equal/far,English,i swear if i was the speaker i would have returned the hit
3,equal/far,English,thanks any way
1,closer/close,English,Hi
1,closer/close,English,purple
9,closer/close,English,They're all sort of purple The darkest one
3,closer/close,English,purplest purple bright
1,equal/far,English,purple
2,closer/close,English,aqua green
1,closer/close,English,grey
1,closer/close,English,green
11,closer/close,English,They're all green Lime green olive and I guess camo
2,closer/close,English,greenest green
1,closer/close,English,gray
2,closer/close,English,neon green
1,equal/far,English,purple
2,equal/far,English,dark green
2,further/split,English,dark green
1,further/split,English,brown
1,further/split,English,green
1,closer/close,English,aqua
2,closer/close,English,dark grey
1,equal/far,English,green
2,closer/close,English,middle hue
1,equal/far,English,blue
1,further/split,English,orange
1,further/split,English,blue
2,closer/close,English,lighter blue
2,closer/close,English,bright green
2,equal/far,English,light blue
4,further/split,English,eesh those are similar
2,further/split,English,baby blue
1,further/split,English,purple
2,further/split,English,ugly green
1,equal/far,English,purple
2,further/split,English,brighter green
1,equal/far,English,green
1,equal/far,English,blue
1,further/split,English,gray
1,closer/close,English,lighter
1,further/split,English,orange
1,equal/far,English,brown
1,further/split,English,olive
1,closer/close,English,purple
1,equal/far,English,green
1,equal/far,English,green
1,equal/far,English,grey
2,further/split,English,darker green
2,equal/far,English,bright green
1,further/split,English,grey
2,further/split,English,dark purple
1,equal/far,English,green
1,closer/close,English,darkest
1,equal/far,English,green
1,further/split,English,bright
1,closer/close,English,darkest
1,equal/far,English,yellow
1,further/split,English,bright
1,closer/close,English,lighter
1,closer/close,English,hi
1,closer/close,English,hi
4,closer/close,English,select the darkest green
4,further/split,English,select the bright red
3,further/split,English,or brighter red
4,equal/far,English,select the bright green
4,further/split,English,select the purplish blue
2,equal/far,English,the purple
1,further/split,English,red
7,closer/close,English,the one that is more army green
2,closer/close,English,good clue
1,closer/close,English,green
2,closer/close,English,and thanks
2,closer/close,English,bluest one
1,equal/far,English,green
2,closer/close,English,red orange
1,closer/close,English,teal
1,equal/far,English,yellow
1,equal/far,English,purple
2,further/split,English,grey blue
4,further/split,English,the more blue grrey
2,equal/far,English,light blue
1,further/split,English,greenblue
2,closer/close,English,bright blue
2,further/split,English,blue green
2,further/split,English,ligther blue
6,further/split,English,the one that doesnt look greyish
1,equal/far,English,green
2,closer/close,English,brightest purple
2,further/split,English,bright purple
4,further/split,English,pinkish purple or purple
2,further/split,English,pinkish purple
2,closer/close,English,lime green
1,further/split,English,grey
1,equal/far,English,blue
3,equal/far,English,the darker blue
1,further/split,English,brown
2,further/split,English,pinkish purple
1,equal/far,English,grey
1,equal/far,English,purple
1,equal/far,English,orange
2,further/split,English,lime green
2,further/split,English,greener blue
2,closer/close,English,bright purple
2,closer/close,English,brown green
2,closer/close,English,darkest grey
4,closer/close,English,not the redish one
5,closer/close,English,and it's less blue
1,equal/far,English,blue
1,equal/far,English,green
2,equal/far,English,blue purple
1,closer/close,English,grey
1,equal/far,English,blue
1,equal/far,English,grey
1,further/split,English,grey
1,equal/far,English,purple
1,further/split,English,purple
2,further/split,English,light blue
2,closer/close,English,army green
1,closer/close,English,grey
4,closer/close,English,light blue and thanks
2,closer/close,English,take care
2,closer/close,English,neon pink
1,equal/far,English,barney
3,closer/close,English,blue power ranger
2,further/split,English,ninja turtle
2,closer/close,English,paper bag
2,equal/far,English,sorta skyish
2,closer/close,English,dullest green
2,further/split,English,almost brown
1,equal/far,English,mustard
10,closer/close,English,the green with the most 'pop' still dull thop
2,closer/close,English,dullest green
2,closer/close,English,more red
1,equal/far,English,barney
1,further/split,English,pink
1,equal/far,English,green
2,closer/close,English,dull purple
2,further/split,English,dull green
2,closer/close,English,midrange purple
3,equal/far,English,pink i guess
1,further/split,English,purp
2,equal/far,English,dull green
1,equal/far,English,blue
1,equal/far,English,barney
2,further/split,English,dullest purp
2,closer/close,English,midrange green
1,further/split,English,blue
1,equal/far,English,brown
2,further/split,English,dull purp
1,further/split,English,buleish
1,equal/far,English,tan
2,closer/close,English,neon pink
1,equal/far,English,diareah
1,equal/far,English,grey
1,equal/far,English,neon
2,closer/close,English,lighest green
2,further/split,English,real purple
1,closer/close,English,pink
1,equal/far,English,brown
1,further/split,English,blue
1,equal/far,English,purp
2,closer/close,English,brightest green
2,further/split,English,tanish grey
2,further/split,English,neon pink
2,further/split,English,ninja turtle
2,closer/close,English,dull green
2,further/split,English,lighter green
4,equal/far,English,tan or redish color
2,closer/close,English,lighter shade
2,closer/close,English,darker shade
1,further/split,English,grey
5,further/split,English,you sir are a BOSS
1,further/split,English,grey
2,closer/close,English,neon green
1,equal/far,English,mauve
1,equal/far,English,blue
1,further/split,English,grey
1,equal/far,English,green
2,further/split,English,dullest color
1,equal/far,English,yelliow
1,equal/far,English,greenish
1,equal/far,English,redish
1,equal/far,English,aqua
1,equal/far,English,aqua
2,closer/close,English,dull mauve
1,further/split,English,green
2,closer/close,English,brightest color
1,further/split,English,sand
2,closer/close,English,dullest blue
1,equal/far,English,grey
2,closer/close,English,darker purple
1,equal/far,English,pink
4,closer/close,English,brightest red NOT pink
2,closer/close,English,purpleish grey
2,closer/close,English,bold purple
2,closer/close,English,darkest purple
7,further/split,English,sorry i have trouble with my purples
2,further/split,English,darker teal
2,further/split,English,no problem
3,further/split,English,mauve kinda purplish
1,further/split,English,purple
2,closer/close,English,darkest color
2,further/split,English,darker green
3,closer/close,English,most purpulish one
1,further/split,English,tea
1,further/split,English,teal
12,further/split,English,lol and they just keep throwing all these purple ones out here
3,further/split,English,purple NOT pink
1,further/split,English,pink
3,further/split,English,light neon green
1,equal/far,English,green
2,closer/close,English,royal blue
1,further/split,English,redish
2,closer/close,English,most purple
1,equal/far,English,orange
1,further/split,English,grey
2,closer/close,English,greenish grey
1,equal/far,English,grey
1,equal/far,English,blue
1,closer/close,English,yellow
2,further/split,English,lighter green
2,equal/far,English,neon green
1,closer/close,English,grey
3,equal/far,English,bolder brighter blue
2,closer/close,English,seafoam green
1,equal/far,English,grey
2,closer/close,English,natural purp
2,further/split,English,light purp
1,equal/far,English,caca
1,further/split,English,green
1,further/split,English,comprende
1,equal/far,English,brown
1,further/split,English,pink
1,closer/close,English,neon
1,further/split,English,grey
1,closer/close,English,dull
1,equal/far,English,dull
2,closer/close,English,medium green
1,closer/close,English,uh
3,closer/close,English,lighter or darker
1,closer/close,English,dark
5,closer/close,English,one looks blue to me
2,closer/close,English,light grey
1,equal/far,English,violet
1,equal/far,English,brownish
1,equal/far,English,pink
1,equal/far,English,caca
1,further/split,English,green
2,closer/close,English,natural blue
2,closer/close,English,medium green
1,equal/far,English,neon
1,further/split,English,blue
1,equal/far,English,greenish
2,further/split,English,lightest pink
1,equal/far,English,brown
1,closer/close,English,dull
1,further/split,English,pinkish
1,further/split,English,pink
1,equal/far,English,grey
2,closer/close,English,light green
1,closer/close,English,caca
2,closer/close,English,greenish yellow
1,closer/close,English,oops
1,closer/close,English,dull
1,further/split,English,neon
1,equal/far,English,blue
1,further/split,English,pink
2,closer/close,English,dark blue
2,closer/close,English,medium green
1,equal/far,English,grey
2,closer/close,English,greenish grey
1,closer/close,English,grey
1,equal/far,English,blue
1,further/split,English,grey
1,equal/far,English,tan
2,further/split,English,light brownish
1,equal/far,English,purp
1,equal/far,English,caca
3,further/split,English,green not neon
2,closer/close,English,lightest purp
2,further/split,English,lighter blue
1,further/split,English,tan
1,closer/close,English,Hey
1,closer/close,English,hello
2,closer/close,English,fuschia maroon
2,further/split,English,blue grey
2,closer/close,English,pink grey
2,further/split,English,blue grey
2,further/split,English,almost purple
1,further/split,English,purple
1,closer/close,English,pink
1,closer/close,English,yellow
2,further/split,English,drab green
2,equal/far,English,grey blue
1,equal/far,English,blue
2,equal/far,English,not bright
