"role","gameid","workerid_uniq"
"listener","4391-a",286
"listener","9202-3",315
"listener","1470-6",258
"listener","5868-8",592
"speaker","2678-f",295
"speaker","4391-a",222
"speaker","2200-3",335
"listener","1594-9",300
"speaker","3375-a",449
"speaker","5932-1",232
"speaker","3641-1",258
"listener","3641-1",233
"speaker","8984-7",295
"listener","8984-7",21
"listener","9258-7",286
"speaker","3802-d",123
"speaker","4928-6",302
"listener","8762-f",279
"speaker","8762-f",44
"listener","9874-5",660
"listener","5764-1",664
"speaker","4503-8",232
"speaker","6617-1",662
"speaker","2457-4",663
"listener","4862-e",661
"speaker","3349-a",659
"speaker","3639-a",286
"speaker","4790-c",258
"speaker","2722-7",590
"speaker","0437-f",180
"listener","7396-e",414
"speaker","4517-7",666
"speaker","7830-6",232
"speaker","5286-9",665
"listener","6754-4",226
"listener","5820-1",668
"speaker","5704-b",667
"listener","6969-5",345
"listener","6682-b",286
"listener","4517-7",235
"speaker","9199-7",14
"listener","5903-b",232
"speaker","0519-6",669
"listener","1293-8",414
"speaker","1293-8",670
"speaker","9975-6",319
"speaker","9148-7",217
"listener","8589-7",345
"listener","1689-f",672
"speaker","4650-1",671
"listener","5899-f",235
"listener","9645-a",153
"speaker","1742-8",88
"listener","2069-6",414
"speaker","7758-a",673
"listener","5080-2",674
"speaker","4806-d",675
"listener","9843-4",636
"speaker","4505-b",676
"listener","0897-4",677
"listener","3321-5",149
"speaker","3801-2",319
"speaker","5834-1",508
"speaker","2356-f",659
"speaker","9874-5",683
"speaker","6682-b",679
"speaker","5903-b",684
"speaker","9520-5",682
"speaker","7334-e",286
"speaker","3424-d",681
"speaker","5936-8",678
"speaker","9165-1",680
"speaker","5820-1",258
"listener","9148-7",685
"listener","4503-8",687
"listener","9199-7",286
"listener","0968-a",235
"speaker","0495-0",688
"listener","1742-8",686
"speaker","5042-9",689
"listener","9191-c",319
"listener","1561-7",236
"speaker","1691-5",691
"listener","1184-f",145
"speaker","0365-1",21
"speaker","3563-2",232
"speaker","1218-8",286
"listener","6617-1",414
"listener","7029-9",293
"listener","1856-c",690
"listener","8366-0",670
"listener","1691-5",692
"listener","9391-f",271
"listener","2457-4",695
"speaker","8953-9",670
"listener","6649-c",425
"speaker","8994-b",694
"listener","9544-2",235
"speaker","3660-d",444
"listener","7658-c",693
"listener","2722-7",139
"listener","3563-2",697
"speaker","0312-7",696
"speaker","9391-f",699
"listener","8343-3",670
"listener","8016-c",590
"speaker","3112-8",698
"listener","9070-4",319
"speaker","9224-2",345
"speaker","3099-1",701
"listener","7705-9",700
"speaker","1184-f",702
"listener","4806-d",73
"listener","0312-7",370
"speaker","7396-e",705
"speaker","4863-9",235
"speaker","1689-f",703
"listener","4505-b",704
"speaker","2867-c",364
"speaker","5764-1",219
"listener","1218-8",665
"listener","4863-9",707
"speaker","8343-3",708
"speaker","9903-b",706
"speaker","2345-2",286
"speaker","9741-b",664
"listener","9741-b",709
"speaker","7705-9",712
"listener","9080-5",286
"listener","2867-c",713
"speaker","9080-5",185
"listener","0365-1",235
"speaker","8589-7",711
"speaker","9645-a",710
"listener","6421-c",236
"speaker","1745-9",667
"listener","9000-1",538
"speaker","4490-3",286
"speaker","6969-5",235
"speaker","8584-1",202
"listener","8584-1",716
"speaker","9342-d",205
"listener","9342-d",714
"listener","7859-5",715
"listener","4790-c",371
"listener","1713-a",719
"speaker","5080-2",255
"speaker","1033-6",549
"speaker","3830-5",718
"speaker","3659-9",345
"listener","4490-3",717
"listener","0437-f",720
"speaker","9266-e",232
"speaker","3714-6",667
"listener","4791-b",659
"listener","1033-6",345
"speaker","6639-9",286
"speaker","9000-1",128
"listener","3772-3",719
"speaker","3772-3",721
"listener","2345-2",235
"speaker","1058-9",722
"speaker","1856-c",590
"listener","3099-1",723
"speaker","1713-a",590
"listener","6639-9",725
"listener","3830-5",235
"speaker","0868-b",332
"speaker","7226-a",726
"listener","0377-b",724
"speaker","2548-6",236
"speaker","7001-2",667
"listener","4650-1",236
"listener","7830-6",345
"speaker","8002-d",154
"listener","0868-b",286
"listener","7334-e",414
"listener","3424-d",258
"listener","5286-9",727
"listener","3112-8",728
"speaker","2482-2",659
"speaker","4862-e",731
"listener","8002-d",732
"speaker","5899-f",254
"speaker","3321-5",266
"listener","9520-5",667
"listener","5706-5",232
"speaker","5706-5",730
"listener","1058-9",729
"speaker","1561-7",664
"speaker","3770-6",733
"speaker","6649-c",315
"speaker","0897-4",735
"listener","6143-1",321
"speaker","6143-1",734
"listener","7757-1",736
"listener","3660-d",219
"listener","6977-4",235
"listener","8487-9",258
"speaker","0968-a",738
"listener","0519-6",487
"speaker","2227-c",319
"speaker","7757-1",737
"listener","7226-a",235
"listener","4764-2",232
"speaker","8366-0",414
"speaker","8361-4",373
"listener","3320-c",258
"speaker","1707-e",236
"listener","6534-d",384
"listener","3801-2",345
"listener","2345-7",414
"speaker","2345-7",286
"speaker","7963-e",235
"listener","7963-e",258
"speaker","1562-0",354
"listener","8361-4",739
"speaker","6534-d",744
"speaker","9320-9",740
"listener","9320-9",235
"speaker","9544-2",742
"listener","3639-a",743
"listener","6568-5",549
"listener","2356-f",741
"speaker","2796-8",93
"speaker","8995-1",414
"listener","0495-0",13
"listener","2227-c",670
"listener","5936-8",590
"listener","3309-b",745
"speaker","2376-1",286
"listener","2482-2",664
"speaker","6661-0",319
"speaker","9617-0",746
"listener","7174-e",667
"speaker","8016-c",747
"speaker","7859-5",749
"speaker","7029-9",753
"listener","2251-e",670
"speaker","9191-c",750
"speaker","1641-c",751
"listener","6661-0",375
"listener","5704-b",748
"speaker","7025-e",752
"speaker","2251-e",236
"speaker","4764-2",757
"listener","5042-9",758
"listener","3349-a",222
"speaker","6421-c",754
"speaker","1830-a",235
"listener","3714-6",755
"speaker","5159-5",756
"speaker","8378-2",414
"listener","5834-1",258
"listener","9165-1",759
"listener","9617-0",760
"listener","2548-6",235
"listener","4544-5",319
"speaker","4544-5",414
"listener","7012-b",667
"speaker","7012-b",345
"listener","9318-7",582
"speaker","6754-4",236
"speaker","3309-b",664
"listener","3143-1",319
"listener","2761-9",219
"speaker","2761-9",761
"speaker","0377-b",762
"listener","1562-0",763
"speaker","6491-5",258
"listener","9975-6",665
"speaker","3143-1",766
"speaker","8458-5",354
"listener","1641-c",765
"listener","9266-e",235
"listener","6491-5",286
"listener","5159-5",258
"speaker","6977-4",236
"speaker","9318-7",319
"listener","7758-a",764
"listener","4777-1",232
"speaker","4777-1",258
"speaker","9894-3",286
"listener","9224-2",235
"listener","8816-8",345
"speaker","9447-5",729
"listener","8514-f",752
"listener","8578-5",768
"speaker","4932-c",767
"listener","9894-3",201
"speaker","0082-c",770
"speaker","3850-8",232
"speaker","3464-e",286
"listener","5419-7",235
"speaker","4166-4",769
"speaker","1624-6",44
"speaker","0517-a",549
"listener","6035-4",771
"speaker","5063-f",155
"speaker","2069-6",533
"speaker","8487-9",750
"speaker","5419-7",773
"listener","4166-4",235
"speaker","8514-f",258
"listener","8995-1",772
"speaker","3280-4",319
"listener","6089-c",345
"listener","7001-2",774
"listener","3850-8",776
"listener","3464-e",778
"speaker","8772-f",232
"listener","8772-f",266
"speaker","3320-c",319
"speaker","6089-c",549
"speaker","6035-4",777
"speaker","6298-4",775
"listener","0082-c",549
"speaker","8056-d",782
"listener","8056-d",131
"listener","1745-9",375
"speaker","7174-e",319
"listener","0517-a",44
"speaker","8578-5",779
"listener","3280-4",781
"speaker","6833-3",780
"speaker","7658-c",319
"speaker","8816-8",346
"listener","8378-2",286
"listener","1971-7",783
"listener","1624-6",345
"listener","1642-d",235
"speaker","1642-d",232
"speaker","3147-1",258
"listener","3147-1",113
"listener","8330-f",665
"listener","5089-f",784
"speaker","1655-b",232
"listener","4307-f",549
"listener","9910-f",44
"speaker","5491-0",584
"speaker","3824-b",266
"listener","1545-9",785
"speaker","5256-c",786
"speaker","4307-f",788
"speaker","9910-f",232
"speaker","7449-9",286
"speaker","3029-f",345
"speaker","0895-b",790
"speaker","1903-c",789
"listener","5334-3",787
"speaker","3398-5",44
"listener","8080-9",128
"speaker","6141-1",319
"speaker","8330-f",549
"listener","1655-b",44
"listener","4932-c",286
"listener","2687-b",345
"speaker","6982-b",767
"speaker","3181-5",414
"speaker","1557-f",791
"listener","4582-d",792
"speaker","7193-5",584
"speaker","3613-f",3
"speaker","9260-e",286
"listener","1903-c",226
"speaker","9689-6",785
"listener","9713-c",784
"listener","7845-0",793
"speaker","2375-f",223
"speaker","1079-0",794
"listener","6141-1",226
"speaker","5089-f",798
"listener","4793-9",799
"speaker","7875-f",796
"listener","3170-6",795
"speaker","3498-f",797
"listener","1473-7",568
"speaker","4363-d",321
"listener","5523-0",794
"listener","2603-c",802
"listener","7875-f",801
"listener","9245-3",418
"listener","3181-5",803
"speaker","4377-5",785
"listener","1033-9",286
"speaker","2986-c",524
"listener","1557-f",590
"listener","8727-a",800
"speaker","2687-b",804
"listener","2580-b",340
"speaker","3170-6",805
"speaker","8659-4",794
"listener","5154-3",236
"listener","2637-4",206
"speaker","2637-4",807
"speaker","1421-1",806
"listener","2918-7",584
"listener","6833-3",811
"speaker","4793-9",808
"listener","3613-f",809
"speaker","2273-b",258
"listener","4377-5",128
"speaker","1178-5",368
"listener","9689-6",810
"speaker","1545-9",233
"speaker","0398-f",44
"speaker","2603-c",664
"speaker","2580-b",792
"listener","3044-f",539
"speaker","3044-f",812
"listener","7449-9",767
"listener","3498-f",813
"speaker","8727-a",345
"listener","2679-a",44
"listener","4363-d",418
"listener","2273-b",664
"speaker","3498-1",236
"listener","0699-d",815
"listener","5491-0",44
"speaker","2679-a",226
"listener","3924-3",816
"speaker","2409-5",817
"listener","1169-d",418
"speaker","9850-2",814
"listener","3498-1",664
"listener","0895-b",767
"listener","8659-4",784
"listener","7241-4",652
"speaker","9750-f",820
"listener","8963-3",752
"speaker","7564-3",258
"speaker","3441-c",818
"listener","4941-4",819
"listener","3029-f",44
"listener","9260-e",822
"listener","8051-5",664
"speaker","5402-2",823
"speaker","7241-4",792
"listener","2986-c",821
"speaker","4870-5",767
"listener","5539-6",786
"listener","3661-0",819
"speaker","8051-5",293
"listener","1421-1",826
"listener","4870-5",161
"speaker","6903-c",664
"listener","0398-f",825
"listener","8978-9",157
"listener","6634-6",258
"speaker","7611-1",286
"listener","7727-b",824
"speaker","0699-d",418
"speaker","1033-9",549
"listener","1178-5",827
"speaker","9674-b",210
"listener","9674-b",407
"listener","8782-f",803
"speaker","3924-3",664
"speaker","3636-f",828
"speaker","7311-f",161
"listener","5402-2",831
"speaker","4582-d",226
"speaker","9131-a",324
"listener","6169-0",784
"listener","8994-5",286
"speaker","6932-d",767
"listener","0580-7",829
"listener","8455-f",584
"speaker","0742-4",830
"listener","3398-5",418
"listener","9131-a",28
"listener","6035-e",833
"listener","8773-e",786
"speaker","2918-7",834
"listener","4235-3",835
"listener","3441-c",832
"speaker","0070-1",324
"speaker","9776-7",792
"speaker","9713-c",549
"speaker","5618-f",836
"listener","5618-f",840
"speaker","9300-8",837
"listener","3824-b",838
"listener","7708-f",418
"speaker","6634-6",286
"speaker","1169-d",839
"listener","0070-1",784
"speaker","6169-0",549
"listener","8571-7",844
"speaker","8963-3",85
"speaker","3671-d",286
"listener","7311-f",784
"listener","6334-2",123
"listener","0375-6",843
"speaker","4544-9",841
"speaker","0392-6",842
"speaker","5334-3",780
"listener","2712-6",664
"listener","9712-1",794
"speaker","3421-f",845
"listener","3636-f",345
"speaker","8274-0",767
"listener","4475-6",286
"speaker","6513-c",846
"speaker","4449-1",258
"speaker","8773-e",286
"listener","2362-3",568
"speaker","6259-3",833
"speaker","3360-0",847
"listener","6932-d",189
"speaker","6334-2",302
"listener","2240-e",792
"listener","7973-7",794
"speaker","6353-0",279
"listener","3963-6",850
"speaker","8080-9",321
"speaker","4235-3",324
"speaker","0580-7",340
"speaker","1369-5",849
"listener","6513-c",407
"speaker","0217-e",792
"speaker","9841-e",236
"listener","5736-5",848
"speaker","1971-c",819
"speaker","9202-f",853
"speaker","8571-7",852
"speaker","7708-f",855
"listener","2375-f",851
"listener","3671-d",792
"speaker","5523-0",123
"listener","5266-c",345
"listener","2919-4",854
"listener","1971-c",843
"speaker","3963-6",825
"listener","3421-f",856
"speaker","5539-6",665
"speaker","7797-f",858
"speaker","0762-d",857
"speaker","3332-5",44
"listener","6353-0",479
"listener","3043-1",232
"speaker","6035-e",860
"speaker","2712-6",859
"speaker","8994-5",794
"listener","0261-d",819
"speaker","2641-2",619
"listener","2641-2",861
"listener","2409-5",226
"listener","4449-1",44
"speaker","2662-a",767
"speaker","1473-7",867
"speaker","2362-3",843
"listener","1952-1",862
"speaker","9903-d",865
"listener","6259-3",863
"listener","3360-0",792
"listener","7564-3",866
"listener","5256-c",324
"speaker","5736-5",864
"listener","9300-8",863
"speaker","0261-d",872
"listener","9202-f",755
"listener","9903-d",871
"listener","6903-c",868
"speaker","8141-d",873
"listener","1369-5",870
"listener","7473-b",792
"listener","0529-2",869
"speaker","2002-0",258
"listener","0239-9",825
"speaker","8455-f",128
"listener","4962-7",44
"speaker","4962-7",189
"listener","3596-8",161
"speaker","3596-8",767
"listener","6520-0",286
"speaker","4941-4",874
"listener","0239-9",321
"listener","4879-8",418
"speaker","8047-0",875
"listener","9272-8",876
"speaker","3059-d",877
"listener","3332-5",286
"speaker","5697-a",345
"speaker","6520-0",232
"listener","0354-3",819
"listener","2002-0",232
"listener","4099-d",878
"listener","8970-0",665
"listener","5182-9",321
"speaker","8769-3",324
"speaker","2664-4",286
"speaker","5510-1",44
"listener","3799-3",841
"listener","9288-a",879
"listener","5727-1",752
"speaker","8970-0",232
"listener","2135-c",505
"speaker","7973-7",783
"listener","0109-c",266
"speaker","7006-1",882
"listener","7158-d",881
"speaker","1776-b",883
"speaker","2841-a",880
"speaker","4475-6",885
"listener","7486-a",857
"listener","4544-9",232
"speaker","7710-a",887
"listener","7710-a",819
"listener","7095-8",888
"listener","9776-7",886
"listener","9231-2",889
"speaker","9946-1",884
"speaker","2803-f",418
"listener","3546-9",345
"listener","1274-7",892
"speaker","5626-3",891
"speaker","7727-b",546
"speaker","7095-8",893
"speaker","0529-2",123
"speaker","0433-7",890
"speaker","9288-a",286
"listener","8274-0",665
"speaker","4099-d",894
"listener","8769-3",560
"speaker","1274-7",549
"listener","8047-0",348
"speaker","4261-9",44
"listener","1776-b",286
"speaker","0069-8",324
"speaker","4764-2",883
"speaker","2813-0",407
"speaker","5727-1",896
"speaker","5266-c",321
"speaker","8464-1",752
"speaker","2306-2",236
"listener","5697-a",819
"listener","6459-4",895
"speaker","9709-7",232
"listener","8343-d",491
"speaker","0375-6",899
"listener","7611-1",898
"speaker","2135-c",900
"speaker","7486-a",897
"speaker","7473-b",286
"speaker","1020-a",232
"speaker","9973-5",883
"listener","3034-c",468
"listener","9601-f",491
"speaker","8978-9",279
"listener","0762-d",128
"listener","0217-e",321
"speaker","3546-9",340
"listener","8464-1",375
"speaker","2344-0",123
"speaker","4879-8",830
"speaker","3354-3",546
"speaker","3043-1",883
"listener","1079-0",842
"speaker","1410-0",830
"listener","2851-a",767
"speaker","0109-c",232
"listener","3788-d",324
"listener","5528-c",665
"listener","2841-a",546
"listener","9947-c",223
"speaker","5456-5",74
"listener","2306-2",44
"speaker","2919-4",902
"speaker","9714-3",904
"listener","0392-6",901
"listener","9946-1",767
"listener","2647-a",223
"listener","2662-a",903
"listener","0137-f",881
"listener","4655-f",664
"speaker","6261-f",905
"listener","0856-3",307
"speaker","9231-2",910
"speaker","4216-9",909
"listener","4314-7",907
"listener","9714-3",906
"listener","1477-8",911
"speaker","4285-1",85
"speaker","2448-0",908
"listener","5047-0",913
"listener","3681-3",50
"speaker","8792-7",912
"speaker","4314-7",914
"listener","9086-a",85
"speaker","9527-b",468
"listener","4285-1",819
"speaker","1690-c",879
"listener","7383-8",330
"listener","3059-d",317
"speaker","3027-6",819
"listener","2664-4",916
"listener","3103-3",918
"listener","8792-7",814
"listener","9038-b",917
"speaker","6459-4",915
"speaker","1869-e",913
"listener","2448-0",880
"speaker","0856-3",491
"listener","4216-9",921
"speaker","9038-b",920
"speaker","2647-a",814
"listener","2119-3",44
"listener","9973-5",324
"listener","9890-f",919
"listener","6576-b",226
"listener","7862-1",223
"listener","2344-0",926
"speaker","2851-a",709
"speaker","3103-3",924
"listener","1382-f",925
"listener","7182-5",819
"listener","3900-b",922
"speaker","1477-8",469
"listener","9709-7",923
"listener","7281-f",546
"listener","3027-6",928
"listener","4261-9",340
"speaker","1382-f",223
"listener","5776-6",927
"speaker","3900-b",931
"listener","0433-7",929
"speaker","9086-a",286
"speaker","1220-3",468
"listener","1847-c",930
"listener","1410-0",752
"speaker","5047-0",932
"speaker","3681-3",123
"listener","9841-e",933
"speaker","3130-4",934
"speaker","4188-6",29
"listener","5510-1",819
"listener","1807-1",302
"listener","5456-5",908
"speaker","7158-d",665
"listener","3130-4",468
"speaker","3788-d",923
"listener","4188-6",223
"listener","0069-8",286
"speaker","2119-3",279
"speaker","4655-f",324
"listener","5027-a",880
"listener","1690-c",794
"listener","4764-2",468
"speaker","9947-c",937
"listener","8538-2",936
"speaker","8538-2",935
"listener","1020-a",879
"speaker","2242-7",286
"listener","9850-2",491
"listener","0283-7",324
"speaker","1807-1",398
"listener","9922-e",425
"speaker","3799-3",814
"speaker","2196-6",939
"speaker","3028-b",938
"speaker","0255-b",913
"speaker","4614-f",286
"speaker","1847-c",74
"speaker","4337-1",468
"listener","7967-5",880
"listener","3333-2",819
"speaker","3333-2",942
"speaker","9922-e",157
"speaker","0137-f",940
"listener","9527-b",941
"listener","8891-9",348
"listener","1928-6",324
"speaker","3661-0",881
"listener","2651-e",814
"speaker","6673-7",375
"listener","2629-5",330
"speaker","1420-4",943
"speaker","7435-7",546
"speaker","3034-c",223
"speaker","8551-1",286
"listener","0519-9",880
"speaker","8663-3",819
"listener","2673-3",402
"listener","3680-a",324
"listener","3028-b",944
"listener","0354-3",945
"speaker","7275-6",344
"listener","4478-9",705
"listener","4337-1",546
"speaker","7967-5",232
"listener","1406-5",286
"speaker","2673-3",881
"speaker","3680-a",468
"listener","6673-7",756
"speaker","2629-5",948
"listener","0255-b",947
"listener","1420-4",949
"listener","7275-6",562
"listener","2242-7",946
"speaker","7281-f",302
"listener","1220-3",847
"speaker","6576-b",794
"speaker","7862-1",954
"listener","4614-f",952
"speaker","5027-a",951
"speaker","0315-b",953
"speaker","4710-7",950
"listener","9458-2",330
"speaker","8343-d",402
"listener","9444-5",549
"listener","9890-f",468
"listener","7435-7",302
"listener","0315-b",956
"listener","3800-7",348
"listener","8551-1",819
"speaker","0519-9",955
"speaker","2651-e",880
"listener","8663-3",549
"speaker","5418-2",330
"listener","4710-7",881
"speaker","5455-3",847
"listener","5455-3",74
"listener","1869-e",957
"speaker","8891-9",286
"speaker","3604-d",402
"listener","4926-1",546
"speaker","4926-1",880
"listener","5727-9",402
"listener","0415-a",85
"speaker","9601-f",958
"speaker","0415-a",549
"speaker","1928-6",330
"speaker","9444-5",819
"speaker","1406-5",491
"speaker","0022-7",223
"listener","0022-7",324
